Company,Company Name for Emails,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,NAICS Codes,Short Description,Founded Year,Logo Url,Subsidiary of,Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score,Prerequisite: Research Target Company,Qualify Account,Prerequisite: Determine Research Guidelines
Community Pharmacy,Community Pharmacy,150,retail,tbeal@natoli.com,http://www.communitypharmacy.com,http://www.linkedin.com/company/africa-affordable-medicines,https://www.facebook.com/CommunityPharma/,https://twitter.com/communitypharma,4400 Teasley Ln,Denton,Texas,United States,76210-4635,"4400 Teasley Ln, Denton, Texas, United States, 76210-4635","retail, medication safety protocols, immunizations, pharmaceutical care, b2c, patient care, medication synchronization, pcab accreditation, medication compounding, custom medication compounding, medication adherence, pharmacy residency, b2b, medication management, e-commerce, independent pharmacy, automated dispensing, pharmaceuticals, d2c, healthcare, drug information, services, pharmacy services, compounding, patient safety, pharmaceutical technology, prescription transfer, robotic dispensing, pharmacy, long term care, drive-thru, delivery, medicare, weight loss, specialty prescriptions, automation, robotics, patient portal, consumer internet, consumers, internet, information technology & services, medical, health care, health, wellness & fitness, hospital & health care, mechanical or industrial engineering",'+1 940-382-1618,"Cloudflare DNS, Outlook, Microsoft Office 365, CloudFlare Hosting, Cedexis Radar, Yelp, Vimeo, Google Play, WordPress.org, Google Tag Manager, Google Font API, Adobe Media Optimizer, Mobile Friendly, Remote, AI",,Venture (Round not Specified),0,9/1/2011,2600000,,6967fd14ba32d20001477fa5,5912,,"Community Pharmacy (Africa Affordable Medicines Ltd.) is a pharmacy franchise venture, focused on improving the availability, accessibility and affordability of quality medicines at the end-user/patient level in Uganda. Our mission is to close the gap in transport, distribution and the use of medicines and medical supplies that currently exists between Kampala and upcountry end-users and patients. We do this by providing equal pricing throughout the country, reducing stock-outs and expiry, and offering a more comprehensive range of health related services.

Africa Affordable Medicines Ltd. operates a network of franchised Community Pharmacies located throughout Uganda that are linked together and supported by a central hub, which is located in Kampala. At present our network consists six Community Pharmacies located in Kampala, Mukono, Naalya, Soroti, Gulu and Kagadi. Each Community Pharmacy is professionally managed with trained staff that advise patients, dispense medicines and provide counseling. These efforts help our customers to make informed decisions that improve their well being and lead to a healthier community.

In line with our mission, Community Pharmacies have opened in a combination of urban, suburban and rural areas. In doing this it is able to use earnings from more profitable Community Pharmacies, located in densely populated areas, to subsidize the operation of Community Pharmacies in less profitable locations, located in remote areas of the country.",2008,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696e7c2b0941e100010fbd2a/picture,,,,,,,,"Reasoning and Analysis
• Explored Natoli Engineering's website confirming it represents Natoli Engineering Company, Inc., the global leader in tablet compression tooling with over 50 years of experience serving pharmaceutical, nutritional, confectionery, industrial, and veterinary industries.[1][2][3]
• Key offerings include high-quality punches, dies, tablet presses, replacement parts, encapsulation kits, software for tool management and R&D, and services like formulation development and troubleshooting for issues like sticking, picking, capping, and lamination.[1][4][5][6]
• Sender Context is authoritative, emphasizing expertise in tablet compression tooling to enhance productivity, reduce production issues, and improve quality while addressing pain points like inefficient processes, high tooling wear, and need for reliable support.[1][2]
• Company focuses on micro-precision engineering, innovation in steel types, coatings, and designs, with commitments to R&D and technical support.[1][4][6]
• Segments involve manufacturers producing tablets or capsules in specified industries requiring compression tooling and related solutions.[1][3]
• ICP fit centers on companies in tablet/capsule production; high-value indicators signal scaling production, tooling issues, or R&D needs; disqualifiers are rare but include non-tablet manufacturing.[1][5]
• Prioritized low-visibility parameters not in standard B2B databases, such as specific production processes or tooling challenges evident from public signals.[1][4]
• Analysis draws from About, Products, Industries Served, and Scientific pages to ensure comprehensive understanding without external sources.[2][3][6][7]
• Tailored criteria to sales reps for scalable prospecting using public indicators like job postings or news on expansion.[4][5]
• Ensured realism by focusing on feasible, ethical sources aligned with Natoli's value proposition.[1][2]

ICP Fit Criteria
• Operates in pharmaceutical, nutraceutical, veterinary, confectionery, or industrial manufacturing involving solid dosage forms like tablets or capsules.[1][3]
• Engages in tablet compression processes, evidenced by mentions of tablet presses, punches, dies, or encapsulation equipment on their website or profiles.[2][6][7]
• Produces products requiring high-quality tooling to meet industry standards for consistency and yield.[1][6]
• Faces common tableting challenges like inefficient production or quality control, as indicated in technical content or product descriptions.[4][5]

High-Value Fit Criteria
• Recent announcements of new product launches, facility expansions, or scaling production in tablet manufacturing, signaling need for additional tooling or presses.[4][5]
• Active job postings for roles like tablet press operators, tooling engineers, formulation scientists, or production supervisors, indicating growth or tooling optimization needs.[1][5]
• Public discussions or case studies on tooling wear, sticking/picking, capping, lamination, or other compression issues, suggesting urgent support requirements.[4][5]
• Investments in R&D for solid dosage forms or adoption of advanced compression technologies, as per press releases or technical blogs.[1][5][8]
• Operation of multiple production facilities or high-volume tableting lines requiring replacement parts, custom tooling, or maintenance services.[1][6][7]

Disqualification Criteria
• Primarily focused on liquid, powder, or non-compression dosage forms without any tablet or capsule production.
• Operates solely in industries unrelated to pharmaceuticals, nutraceuticals, veterinary, confectionery, or industrial tableting, with no evidence of solid dosage manufacturing.[1][3]

Research Sources
company website product pages, about sections, industries served pages, news or press release sections, technical articles or blogs, job postings on job boards, public company annual reports or regulatory filings

References:
1. https://natoli.com/about/
2. https://natoli.com
3. https://natoli.com/about/industries-served/pharmaceutical-tablet-manufacturing/
4. https://www.youtube.com/watch?v=N0PpNm_ZdVg
5. https://natoliscientific.com/about-natoli-scientific/
6. https://natoli.com/products/tablet-compression-tooling/
7. https://natoli.com/products/tablet-presses/
8. https://natoli.com/technical-articles/"
"StoreDot, Ltd.",StoreDot,150,automotive,tbeal@natoli.com,http://www.store-dot.com,http://www.linkedin.com/company/storedot,https://www.facebook.com/StoredotLtd/,https://twitter.com/StoreDotLtd,,,,,,,"electric car battery, fast charging, ev, li ion, battery, li ion battery, automotive, electric vehicle, xfc, solid state, silicon anode, silicon, 100in5, data science, ev charging, automotive oems, automotive integration, mass production, sustainable battery technology, battery pack design innovation, next-gen solid-state batteries, electric vehicle range enhancement, organic compounds, battery chemistry innovation, fast charge cycle, advanced battery materials, energy storage, industry partnerships, collaborative industry ecosystem, cell-to-chassis design, silicon-dominant anode, battery safety and longevity, battery chemistry, battery lifecycle, energy density improvement, battery lifecycle extension, automotive industry partnerships, electric mobility innovation, ev batteries, b2b, silicon-based batteries, scalable battery production, solid-state batteries, eco-friendly battery materials, battery innovation, automotive battery integration, organic nanomaterials, ai-optimized chemistry, battery cycle life, fast charge cycle optimization, patented technology, ai optimization, electric vehicle adoption, next-generation ev batteries, battery manufacturing scale-up, disruptive ev battery tech, battery safety protection, battery cycle durability, bio-inspired nanomaterials, organic-inorganic compounds, battery safety standards, hybrid solid electrolytes, extreme fast charge cycles, disruptive battery technology, energy density breakthroughs, battery manufacturing, fast charging in minutes, automotive battery supply chain, green energy solutions, ai-driven r&d, electric vehicle range extension, electrical equipment and appliance manufacturing, recharge in minutes, global ev market growth, battery safety, electric vehicle industry, cell-to-pack design, multi-disciplinary r&d, battery degradation mitigation, fast charging infrastructure compatibility, industry-leading patents, battery thermal management, silicon-dominant batteries, high energy density, energy density, solid-state battery development, range on demand, nano-dots, automotive manufacturing, battery scalability, disruptive energy storage, fast charging infrastructure, cell-to-pack, battery performance optimization, sustainable energy storage, extreme fast charging, high-energy density, hybrid electrolyte formulations, structural battery packs, patented nanomaterials, multi-layered safety protection, mass production readiness, nanomaterials, fast charging technology, thermal management, recyclable second life, high-power charging systems, thermal dissipation solutions, silicon dominant cells, battery technology, charging anxiety solution, nanotechnology, ev adoption, sustainable energy solutions, molecule design, cell-to-pack technology, next-gen battery chemistry, fast recharging, battery pack optimization, customized battery formats, zero-emissions goals, partnerships with automakers, manufacturing readiness, energy efficiency, predictive maintenance, data science innovations, revolutionary battery materials, high-performance batteries, safe charging solutions, advanced battery infrastructure, hybrid solid-state technology, regenerative braking, electro-chemical processes, battery health monitoring, improved charging speeds, ai in ev technology, market-ready battery solutions, battery customization, rapid energy delivery, multi-layered cell protection, battery recycling initiatives, sustainable manufacturing, cell architecture innovation, commercialization milestones, battery scaling techniques, high power charging, vehicle system integration, commercial production of batteries, future of electric vehicles, real-time battery data retrieval, manufacturing, transportation & logistics, energy & utilities, oil & energy, environmental services, renewables & environment, mechanical or industrial engineering",'+972 3-509-7710,"Outlook, Amazon AWS, Atlassian Cloud, Webflow, Google Tag Manager, WordPress.org, Mobile Friendly, Google Analytics, MailChimp, Remote",210000000,Series D,80000000,1/1/2022,14500000,,69726e748e65570001f3cae6,3691,33591,"StoreDot is an Israel-based battery technology company founded in 2012 and headquartered in Herzliya. The company specializes in ultra-fast-charging lithium-ion batteries for electric vehicles (EVs), utilizing patented organic nanomaterials and bio-inspired active-material nanoparticles. StoreDot's innovative approach replaces traditional lithium-ion graphite anodes with these advanced materials, enabling extreme fast charging capabilities, such as adding 100 miles of range in just a few minutes.

Initially focused on peptide-based technologies for mobile displays and data storage, StoreDot pivoted to battery technology and aims for mass production of its silicon-based EV batteries by 2024, with commercial delivery expected in 2025. The company emphasizes the development of safer and more sustainable batteries, supported by AI-driven research and development for rapid material formulation and real-time battery health monitoring. StoreDot also offers scale-up and integration services for EV battery adoption, including pilot production and simulations tailored for car manufacturers.",2012,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696e2e0ec3bcb7000149bdd9/picture,,,,,,,,
Hydrogenious LOHC Technologies,Hydrogenious LOHC,120,oil & energy,tbeal@natoli.com,http://www.hydrogenious.net,http://www.linkedin.com/company/hydrogenious-lohc,https://facebook.com/hydrogeniousLOHC/,https://twitter.com/hydrogenLOHC,13 Weidenweg,Erlangen,Bavaria,Germany,91058,"13 Weidenweg, Erlangen, Bavaria, Germany, 91058","hydrogen storage, energy storage, liquid organic hydrogen carriers, hydrogenious lohc technologies, hydrogen transport, hydrogen supply, industrial hydrogen storage, renewable hydrogen storage, renewable hydrogen logistics, hydrogen industry solutions, industrial-scale lohc plants, hydrogen transportation solutions, hydrogen safety standards, industrial hydrogen supply, services, hydrogen infrastructure, renewable energy, hydrogen refueling stations, hydrogen storage systems, hydrogen safety, hydrogen logistics services, hydrogen refueling infrastructure, hydrogen technology innovation, large-volume hydrogen storage, hydrogen project engineering, hydrogen transportation, hydrogen refueling network, hydrogen infrastructure development, hydrogen logistics platform, investment, hydrogen logistics network, b2b, dehydrogenation plants, lohc hydrogen storage, hydrogen project financing, hydrogen storage plants, hydrogen infrastructure deployment, large-scale hydrogen storage solutions, hydrogen mobility, large-scale hydrogen projects, hydrogen energy infrastructure, hydrogen infrastructure projects, hydrogen storage technology, hydrogen supply chain solutions, hydrogen logistics, transportation & logistics, hydrogen refueling, hydrogen logistics infrastructure, construction machinery manufacturing, decarbonization solutions, hydrogen project development, hydrogen handling, hydrogen economy development, hydrogen energy storage, hydrogen handling safety measures, hydrogen carrier material, lohc technology, renewable energy integration, hydrogen safety technology, decarbonization infrastructure, hydrogen supply chain optimization, hydrogen transport logistics, hydrogen handling safety, decarbonization, hydrogen supply chain logistics, hydrogen energy transition, utilities, hydrogen economy, energy, hydrogen supply chain management, hydrogen supply systems, logistics, large-scale hydrogen storage, hydrogen release plants, hydrogen supply chain, government, hydrogen refueling solutions, release plants, manufacturing, hydrogen logistics solutions, liquid organic hydrogen carrier, hydrogen safety systems, project management, hydrogen project management, hydrogen, lohc, hydrogen release, green hydrogen, hydrogen hub, hydrogen production, hydrogen offtakers, safety, flexibility, scalability, long-distance transport, mobile applications, storage solutions, epc services, o&m services, hydrogen purity, dehydrogenation process, conventional fuel infrastructure, ambient conditions, energy transition, chemical hydrogen storage, hydrogen carrier technologies, energy carrier, chemical process, hydrogen production facilities, high hydrogen storage density, supply and demand, hydrogen purification, sustainable solutions, hydrogen maritime, environmental impact, global hydrogen market, hydrogen transportation modes, efficiency, distribution, energy & utilities, oil & energy, clean energy & technology, environmental services, renewables & environment, mechanical or industrial engineering, productivity, mobile apps, logistics & supply chain",'+49 91 31126400,"Outlook, Microsoft Office 365, WordPress.org, Google Tag Manager, Mobile Friendly, Apache, Render",195500000,Venture (Round not Specified),18700000,2/1/2025,13500000,,69726e748e65570001f3cae9,3631,33312,"Hydrogenious LOHC Technologies is a German company based in Erlangen, specializing in hydrogen storage and transport technology. Founded in 2013, it focuses on Liquid Organic Hydrogen Carrier (LOHC) technology, which allows for the safe and efficient storage and transport of hydrogen at ambient conditions. The company is led by CEO Dr. Andreas Lehmann and CTO Dr. Caspar Paetz, and has recently realigned to concentrate on flagship industrial-scale projects.

The company offers a range of solutions, including hydrogen storage systems, hydrogen release systems, and LOHC infrastructure development. Notable products include the StorageBox and ReleaseBox units, as well as larger systems like the StoragePLANT and ReleasePLANT. Hydrogenious is also developing significant projects such as Project Hector, aimed at creating the world's largest green hydrogen storage facility, and the IPCEI Green Hydrogen @ Blue Danube hub, which will supply hydrogen to industrial users in Central Europe. The company has established partnerships with various global organizations and has a strong intellectual property portfolio with over 31 patent families.",2013,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6970a8ef6438b10001b71491/picture,,,,,,,,
Porite America,Porite America,3,mechanical or industrial engineering,tbeal@natoli.com,http://www.porite.us,http://www.linkedin.com/company/poriteusa,,,,,,,,,"manufacturing, mechanical or industrial engineering",'+1 573-893-2445,,,,,,,,69726e748e65570001f3caf2,,,"Porite Group is one of the leading producers of powder metallurgy products worldwide.  Porite manufactures parts for automotive, agriculture equipment, home appliance, medical and many other industries.  Porite USA is the sales and distribution hub for Porite Group in North America.",1952,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6718c467b7d49100013f4013/picture,,,,,,,,
Anastasia Beverly Hills,Anastasia Beverly Hills,640,"health, wellness & fitness",tbeal@natoli.com,http://www.anastasiabeverlyhills.com,http://www.linkedin.com/company/anastasia-beverly-hills,https://facebook.com/ABHcosmetics,https://twitter.com/ABHcosmetics,438 North Bedford Drive,Beverly Hills,California,United States,90210,"438 North Bedford Drive, Beverly Hills, California, United States, 90210","brows, color, skincare, personal care product manufacturing, beauty influencers, makeup tutorials, brow products for sparse brows, innovation, beauty tutorials, social media engagement, brow grooming tools, brow grooming techniques, e-commerce, brow grooming tips, beauty subscription, foundation, d2c, beauty innovation, customer experience, makeup brushes, makeup sets, beauty community, makeup palettes, brow gel, brow shaping technique, beauty brand, lipsticks, global cosmetics, brow tutorials, cosmetic science, prestige makeup, social media, brow shaping tutorial, beauty retail, digital marketing, b2c, brow shaping service, eyebrow shaping, face makeup, eyeshadow palettes, beauty accessories, brow styling, brow products, lip products, beauty, retail, brow kits, cosmetics, brow design, brow grooming, professional makeup, beauty trends, beauty products, cosmetic innovation, beauty education, beauty retailer, highlighters, sign manufacturing, golden ratio method, brow shaping method, blushes, brow enhancement, makeup tools, makeup, lifestyle, beauty marketing, beauty product development, makeup application, lip liners, celebrity brow artist, customer engagement, beauty industry leader, cosmetic formulations, celebrity-endorsed, consumer cosmetics, high-performance formulas, eyebrow makeup, contour kits, makeup collection, long-wear makeup, beauty brand story, brow grooming products, celebrity makeup, makeup application techniques, brow shaping kit, facial symmetry, brow artistry, eyebrow pencils, online shopping, brow shaping tools, beauty tools, cosmetic technology, beauty e-commerce, eyebrows, brow pencils, dual-ended brushes, lip gloss, lip liner, liquid lipstick, skin tint, concealer, contour, highlight, blush, bronzer, setting spray, eyeshadows, eyeliner, mascara, false lashes, body makeup, beauty essentials, vegan cosmetics, color cosmetics, powder foundation, cream blush, minis, limited edition, gift sets, bundle offers, subscribe and save, loyalty program, national brow day, golden ratio, professional brushes, beauty bundles, beauty tips, natural finish, serum foundation, beauty magazine, custom palettes, online exclusive, education, distribution, consumer products & retail, health, wellness & fitness, consumer internet, consumers, internet, information technology & services, marketing & advertising, apparel & fashion",'+1 800-310-3773,"Rackspace MailGun, Mimecast, Amazon AWS, Segment.io, JQuery 2.1.1, Salesforce Commerce Cloud, Afterpay, Sophos, Shopify Plus, SearchSpring, Upsellit, Bing Ads, Google AdWords Conversion, Typekit, greyscale - grey, Adobe Media Optimizer, Nosto, Mobile Friendly, Amazon Payments, Paypal, Amazon Associates, Google Places, Google Font API, DoubleClick, Google Maps, Listrak, Shopify, Google Dynamic Remarketing, Facebook Widget, DoubleClick Conversion, Vimeo, Where2getit, Facebook Custom Audiences, Facebook Login (Connect), Google Tag Manager, Cedexis Radar, BounceExchange, Visual Website Optimizer, Content.ad, Pingdom, AppDynamics, Twitter Advertising, Google Analytics Ecommerce Tracking, LivePerson Monitor, Atlas by Facebook, Google Analytics, Remote, AI",,Venture (Round not Specified),0,6/1/2018,280000000,,69726e748e65570001f3caff,2842,33995,"Anastasia Beverly Hills is a prominent American cosmetics company founded in 1997 by Anastasia Soare. Known for revolutionizing the brow industry, the company introduced the Golden Ratio® Eyebrow Shaping Method, which enhances facial symmetry and balance. Soare's innovative techniques quickly gained popularity, attracting a celebrity clientele and leading to the establishment of the flagship salon in Beverly Hills.

The company specializes in brow products, including powders, pomades, and tools designed for both professional and everyday use. In addition to its brow offerings, Anastasia Beverly Hills has developed a full line of prestige makeup products that cater to a wide range of beauty needs. With over 485 products available in more than 2,000 stores worldwide, the brand continues to innovate and expand its reach, maintaining a strong presence in the beauty industry.",1997,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/697127acf89f82000158de8e/picture,,,,,,,,
BH Cosmetics,BH Cosmetics,,,tbeal@natoli.com,,,,,,,,,,,,,,,,,,,,69726e748e65570001f3cb05,,,,,,,,,,,,,
Apex Pharmacy,Apex Pharmacy,1,pharmaceuticals,tbeal@natoli.com,http://www.apexhealthcare.com.my,http://www.linkedin.com/company/apex-healthcare-bhd-apex-,,,1 Jalan TTC 15,Cheng,Melaka,Malaysia,75260,"1 Jalan TTC 15, Cheng, Melaka, Malaysia, 75260","pharmaceutical manufacturing, pharmaceuticals, medical",'+60 6-337 0980,"Outlook, Microsoft Office 365, Mobile Friendly, WordPress.org, Google Font API, Bootstrap Framework",,,,,,,697274140674f100016f2957,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,,,,,,,,
Genesis Pharmacy,Genesis Pharmacy,,,tbeal@natoli.com,http://www.genesispharmacy.com,,,,,,,,,,,,,,,,,,,697274140674f100016f295a,,,,,,,,,,,,,
Precision Wellness RX,Precision Wellness RX,,,tbeal@natoli.com,http://www.precisionwellnessrx.com,,,,,,,,,,,,,,,,,,,697274140674f100016f2967,,,,,,,,,,,,,
Advanced Compounding Solutions,Advanced Compounding Solutions,,,tbeal@natoli.com,http://www.advancedcompounding.com,,,,,,,,,,,,,,,,,,,697274140674f100016f296f,,,,,,,,,,,,,
Evergreen RX,Evergreen RX,,,tbeal@natoli.com,http://www.evergreenrx.com,,,,,,,,,,,,,,,,,,,697274140674f100016f2974,,,,,,,,,,,,,
SmartyPants Vitamins,SmartyPants Vitamins,66,"health, wellness & fitness",tbeal@natoli.com,http://www.smartypantsvitamins.com,http://www.linkedin.com/company/smartypantsvitamins,https://www.facebook.com/SmartyPants/,http://www.twitter.com/smartyhealth,4056 Del Rey Avenue,Marina del Rey,California,United States,90292,"4056 Del Rey Avenue, Marina del Rey, California, United States, 90292","health & wellness, supplements, multivitamins, vitamins & minerals, nutrition, kids multivitamin, e-commerce, consumer internet, internet, information technology, wellness & fitness services, formulated with research, dietary support, retail, high-quality vitamins, nutrient gaps, gluten-free, third-party certification, micronutrient grants, transparent formulation, third-party testing, sustainability, supplement innovation, transparency in sourcing, doll, toy, and game manufacturing, corporate social responsibility, nutritional gaps, gummy vitamins, retail demo programs, b2c, children and adults, natural ingredients, retail demos, brand transparency, founder-driven ethos, consumer goods, safety and purity, bioavailable nutrients, social responsibility, online sales, retail distribution, supplement manufacturing, vitamin angels, health and personal care products, nutrient bioavailability, global malnutrition, recyclable bottles, premium supplements, consumer health, retail partnerships, nutritional supplements, vitamin formulations, social impact, innovative gummy delivery, cost-effective supplements, global health partnership, d2c, non-gmo ingredients, acquisition by unilever, sustainable packaging, all-in-one formulas, gluten-free certification, artificial sweetener free, specialty retail, consumer trust, allergen-free, allergen-free certification, bioavailable forms, product testing, artificial additive free, mass retail, quality assurance, consumer engagement campaigns, over 400 whole foods locations, non-gmo, partnering with vitamin angels, comprehensive dietary support, health and wellness, lifestyle-specific formulas, scientific research, kids vitamins, prenatal vitamins, adult vitamins, probiotics, omega-3, fiber supplements, health benefits, sugar-free vitamins, organic vitamins, immune support, digestion support, heart health, energy metabolism, children's health, baby probiotics, women's health, men's health, formulas for all ages, daily nutrition, delicious vitamins, easy to take supplements, vitamin b12, coenzyme q10, folate, pediatrician tested, nutritional support, healthy lifestyle, vegan options, whole body health, eye health support, vitamin supplements, dietary fiber, sustainably sourced, natural microencapsulation, healthy gut, balanced nutrition, children's immunity, family health, multivitamin formulas, vitamin c, mineral supplements, nutrient absorption, wellness support, age-specific supplements, non-profit, distribution, consumer products & retail, health, wellness & fitness, consumers, information technology & services, environmental services, renewables & environment, nonprofit organization management",'+1 888-751-2291,"Gmail, Google Apps, Outlook, Microsoft Office 365, Google Cloud Hosting, FedEx, The Trade Desk, Webflow, Shopify Unlimited, Greenhouse.io, Shopify Plus, Zendesk, Mobile Friendly, Shopify, Render",38810860,Merger / Acquisition,0,11/1/2020,40000000,,6967aa7744efc20011929ac6,2046,33993,"SmartyPants Vitamins is a U.S.-based company founded in 2011 by Courtney Nichols Gould and Gordon Gould. The company specializes in premium nutritional supplements for children, adults, and various life stages, addressing common nutrient gaps in diets. Headquartered in Marina del Rey, SmartyPants was acquired by Unilever in December 2020, continuing its mission under the co-founders as co-CEOs.

The company offers multifunctional gummy vitamins and supplements that are convenient and delicious. SmartyPants emphasizes high-quality, non-GMO, and sustainably sourced ingredients, ensuring products are free from synthetic additives and major allergens. Their products are manufactured in North America and are third-party lab-tested for purity and potency. SmartyPants is committed to social impact, partnering with Vitamin Angels to provide micronutrient grants to combat global malnutrition, aiming to reach 100 million mothers and children by 2025. Products are available nationwide through over 30,000 retail locations, including major partners like Amazon, Costco, Target, and Walmart.",2011,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/69687d8d02b9e80001bfbb76/picture,Unilever (unilever.com),,,,,,,
Lyten Inc.,Lyten,390,mechanical or industrial engineering,tbeal@natoli.com,http://www.lyten.com,http://www.linkedin.com/company/lyten-inc,https://facebook.com/lyten.inc/,,145 Baytech Dr,San Jose,California,United States,95134-2303,"145 Baytech Dr, San Jose, California, United States, 95134-2303","advanced composites, advanced sensors, next generation lithiumsulfur batteries, manufacturing, infinitely tunable materials, aerospace materials, porosity control, lithium-sulfur batteries, lightweight composites, net zero emissions, consumer electronics, cost-effective battery manufacturing, battery energy storage, industrial applications, advanced manufacturing processes, innovation, net zero, recyclable carbon materials, drone batteries, aviation industry, recyclable materials, sensors, next-generation batteries, patents and innovation, materials innovation, environmental technologies, 3d graphene, high-performance sensor materials, material sustainability, space industry, materials science, supermaterial for spacecraft, sensors technology, battery cell production, electric vehicle batteries, high-density energy storage, space applications, iot sensors, supermaterial applications, local sourcing materials, environmental impact, supply chain security, space battery technology, hydrogen gas capture technology, infinitely tunable graphene, automated production, recyclable composites, energy absorbing properties, decarbonization materials, supermaterial for defense, energy & utilities, advanced sensor materials, carbon sequestration materials, battery supply chain security, aviation materials, patented technology, domestic manufacturing, advanced composite manufacturing, manufacturing scale, lithium-sulfur battery, local materials, high-performance batteries, industrial materials, lightweight aerospace materials, transportation & logistics, recyclable energy storage systems, high-performance polymers, supply chain localization, sensor deployment, material engineering, electrical properties, lightweight aerospace components, thermal optimization, nanotechnology, renewable power support, sustainability, aerospace, conductive materials, supermaterial for aerospace, supermaterial technology, advanced materials, energy storage, decarbonization, battery grade lithium, spacecraft materials, 3d graphene supermaterial, renewable energy, structural materials, sustainable materials, battery manufacturing, lightweight structures, automated battery production, polymer reinforcement, infinitely tunable, carbon footprint reduction, infinitely tunable conductive materials, government, local manufacturing, innovative materials, electric vehicles, sustainable energy, uav batteries, b2b, supermaterial, carbon sequestration, lightweight electric vehicles, high energy density, aerospace product and parts manufacturing, electrification, hydrogen gas capture, services, composite systems, sustainable energy storage, superconductive composites, high conductivity, defense, battery technology, lightweight materials, high-performance structural materials, uav battery solutions, recyclable polymer composites, cost-effective manufacturing, composites, energy density, sustainable manufacturing, local sourcing, climate innovation, aviation technology, supply chain solutions, environmental monitoring, smart sensors, battery safety, ultra-lightweight components, massive scale production, clean energy solutions, industry transformation, health monitoring sensors, next-gen battery technology, structural integrity, reduced emissions, cost-effective solutions, iot integration, innovative manufacturing, distributed sensing, smart transportation, seamless integration, material optimization, resistive properties, electrical conductivity, infrastructure improvement, supercharged composites, gas vapor sensors, biosensing technology, circular economy materials, thermal management solutions, remote sensing technology, automated production lines, tunable supermaterials, mechanical or industrial engineering, consumers, hardware, environmental services, renewables & environment, material science, oil & energy, clean energy & technology",'+1 970-618-7788,"Outlook, Microsoft Office 365, CloudFlare Hosting, Workday, Gravity Forms, Vimeo, YouTube, Adobe Media Optimizer, Mobile Friendly, Google Tag Manager, WordPress.org, Cedexis Radar, Google Font API, Remote",1217000000,Venture (Round not Specified),200000000,7/1/2025,110000000,,69726e748e65570001f3cadc,3699,33641,"Lyten is an advanced materials company based in San Jose, California, founded in 2015. The company specializes in Lyten 3D Graphene™, a supermaterial aimed at enabling decarbonization across various industries. This innovative material is designed to produce lighter, stronger, and safer products while reducing greenhouse gas emissions. Lyten focuses on applications in energy storage, advanced composite systems, and advanced sensors.

The company develops Lithium-Sulfur (Li-S) batteries, branded as LytCell™, which are intended for electric vehicles and other sectors. Lyten also produces polyethylene composites and supercharged composites that enhance strength and reduce material usage. Additionally, the company manufactures resonant sensors, bio-sensors, and gas sensors utilizing 3D Graphene for efficiency monitoring and health applications. With a manufacturing facility in Alviso, North San José, Lyten is set to begin commercial battery cell deliveries in 2025 and holds over 280 patents. The company employs around 250 people and collaborates with various sectors, including defense, automotive, and logistics.",2015,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6967dee3192b6600011cccbb/picture,,,,,,,,
