Company,City,State,Phone,Website,LinkedIn,Natoli Fit,Territory,Sales Rep,Industry,Confidence,Reason,503A,503B,GMP Likely,FDA Likely,Industry Match
Pacific Gas and Electric Company,San Francisco,CA,-8387,https://www.pge.com,https://linkedin.com/company/pacific-gas-and-electric-company,Engineering,West Coast,Fernando Delgado,nuclear fuel pellet manufacturing,90,"Operates nuclear reactors, utilizing pellet-based fuel systems.",,,,,Yes
Public Service Enterprise Group (PSEG),Newark,NJ,-8402,https://www.pseg.com,https://linkedin.com/company/pseg,Engineering,Northeast,Raffaele Romano,nuclear fuel pellet manufacturing,90,"Owns nuclear power plants, involved in fuel cycle management.",,,,,Yes
W.R. Grace & Co,Columbia,MD,-4940,https://grace.com,https://linkedin.com/company/grace,Both,Northeast,Raffaele Romano,catalyst pellet manufacturing,100,A leader in catalyst manufacturing and technology,,,,,Yes
UOP LLC (Honeywell),Des Plaines,IL,-3237,https://uop.com,https://linkedin.com/company/honeywell-uop,Both,Central,David Nelson,catalyst pellet manufacturing,100,Provides catalyst and process technology solutions,,,,,Yes
INEOS Olefins & Polymers USA,League City,TX,-7415,https://ineos.com,https://linkedin.com/company/ineos,Both,Central,David Nelson,catalyst pellet manufacturing,100,Produces catalysts and chemical products,,,,,Yes
Chevron Phillips Chemical Company,The Woodlands,TX,-5744,https://cpchem.com,https://linkedin.com/company/chevron-phillips-chemical-company,Scientific,Central,David Nelson,catalyst pellet manufacturing,90,Develops and produces chemical catalysts,,,,,Yes
LyondellBasell Industries,Houston,TX,-8221,https://lyondellbasell.com,https://linkedin.com/company/lyondellbasell,Both,Central,David Nelson,catalyst pellet manufacturing,100,Produces catalysts and polyolefins,,,,,Yes
Flint Hills Resources,Wichita,KS,-4620,https://fhr.com,https://linkedin.com/company/flint-hills-resources,Scientific,Central,David Nelson,catalyst pellet manufacturing,90,Engages in the development and production of chemicals and catalysts,,,,,Yes
American Elements,Los Angeles,CA,-1068,https://americanelements.com,https://linkedin.com/company/american-elements,Both,West Coast,Fernando Delgado,catalyst pellet manufacturing,100,Produces a range of chemical materials including catalysts,,,,,Yes
Dow Chemical Company,Midland,MI,-2624,https://dow.com,https://linkedin.com/company/dow-chemical,Both,Central,David Nelson,catalyst pellet manufacturing,100,Global producer of chemicals and catalysts with advanced R&D capabilities,,,,,Yes
Shell Catalysts & Technologies,Houston,TX,-7114,https://shell.com,https://linkedin.com/company/shell,Both,Central,David Nelson,catalyst pellet manufacturing,100,Develops catalysts and provides related services,,,,,Yes
Plug Power Inc.,Latham,NY,-8999,https://www.plugpower.com,https://linkedin.com/company/plug-power,Scientific,Northeast,Raffaele Romano,hydrogen storage materials,90,Develops hydrogen fuel cell systems and requires advanced material formulation,,,,,
Proton OnSite,Wallingford,CT,-2880,https://www.protononsite.com,https://linkedin.com/company/proton-onsite,Scientific,Northeast,Raffaele Romano,hydrogen storage materials,90,"Develops hydrogen generators, requiring formulation expertise",,,,,
Hexagon Lincoln,Lincoln,NE,-5871,https://www.hexagonlincoln.com,https://linkedin.com/company/hexagon-lincoln,Engineering,Central,David Nelson,hydrogen storage materials,90,"Produces composite hydrogen storage tanks, may need tablet pressing for components",,,,,
Giner ELX,Newton,MA,-1809,https://www.ginerelx.com,https://linkedin.com/company/giner-elx,Scientific,Northeast,Raffaele Romano,hydrogen storage materials,90,Specializes in electrochemical hydrogen generation,,,,,
McPhy Energy,San Francisco,CA,,https://mcphy.com,https://linkedin.com/company/mcphyenergy,Scientific,West Coast,Fernando Delgado,hydrogen storage materials,80,Develops hydrogen production and storage solutions,,,,,
Hydrogenics USA,Cincinnati,OH,-4925,https://www.hydrogenics.com,https://linkedin.com/company/hydrogenics,Scientific,Central,David Nelson,hydrogen storage materials,90,Focuses on hydrogen generation and fuel cells,,,,,
Nel Hydrogen,Wallingford,CT,-9848,https://www.nelhydrogen.com,https://linkedin.com/company/nel-hydrogen,Scientific,Northeast,Raffaele Romano,hydrogen storage materials,90,Produces hydrogen generation systems needing advanced formulations,,,,,
"Praxair, Inc.",Danbury,CT,-3039,https://www.praxair.com,https://linkedin.com/company/praxair,Both,Northeast,Raffaele Romano,hydrogen storage materials,100,A major supplier of industrial gases including hydrogen,,,,,
StratosFuel,Riverside,CA,,https://www.stratosfuel.com,https://linkedin.com/company/stratosfuel,Scientific,West Coast,Fernando Delgado,hydrogen storage materials,80,Focuses on hydrogen production and distribution,,,,,
Hyon USA,Los Angeles,CA,,https://hyon.com,https://linkedin.com/company/hyon,Scientific,West Coast,Fernando Delgado,hydrogen storage materials,80,"Focuses on hydrogen-based solutions, needing formulation expertise",,,,,
PowerCell Sweden AB,Pasadena,CA,,https://www.powercellgroup.com,https://linkedin.com/company/powercell-sweden-ab,Scientific,West Coast,Fernando Delgado,hydrogen storage materials,80,Develops fuel cell systems with hydrogen storage needs,,,,,
Linde Engineering North America,Houston,TX,-8043,https://www.linde-engineering.com,https://linkedin.com/company/linde-engineering-north-america,Both,Central,David Nelson,hydrogen storage materials,100,Engineering and production of hydrogen plants and storage,,,,,
"Nuvera Fuel Cells, LLC",Billerica,MA,-8361,https://www.nuvera.com,https://linkedin.com/company/nuvera-fuel-cells,Scientific,Northeast,Raffaele Romano,hydrogen storage materials,90,Develops fuel cell technology needing precise formulation,,,,,
United Hydrogen Group,Charleston,TN,-10862,https://unitedhydrogen.com,https://linkedin.com/company/united-hydrogen-group,Scientific,Southeast,Danny Ambrose,hydrogen storage materials,90,Produces and distributes hydrogen gas for industrial use,,,,,
Hazer Group Limited,Palo Alto,CA,,https://www.hazergroup.com.au,https://linkedin.com/company/hazer-group,Scientific,West Coast,Fernando Delgado,hydrogen storage materials,80,Develops technology to produce hydrogen and graphite,,,,,
Carbon Clean Solutions,San Francisco,CA,-2203,https://carbonclean.com,https://linkedin.com/company/carbonclean,Scientific,West Coast,Fernando Delgado,carbon capture sorbent manufacturing,90,"Specializes in carbon capture technology, potentially requiring formulation services",,,,,
Global Thermostat,New York,NY,-6444,https://globalthermostat.com,https://linkedin.com/company/globalthermostat,Scientific,Northeast,Raffaele Romano,carbon capture sorbent manufacturing,90,Develops carbon capture technology requiring new formulations,,,,,
Svante Inc.,San Jose,CA,-3307,https://svanteinc.com,https://linkedin.com/company/svanteinc,Scientific,West Coast,Fernando Delgado,carbon capture sorbent manufacturing,90,"Creates sorbents for carbon capture, needing formulation expertise",,,,,
LanzaTech,Skokie,IL,-11277,https://lanzatech.com,https://linkedin.com/company/lanzatech,Scientific,Central,David Nelson,carbon capture sorbent manufacturing,90,"Works on carbon recycling technologies, may require formulation services",,,,,
CarbonCure Technologies,Boston,MA,-7960,https://carboncure.com,https://linkedin.com/company/carboncure,Scientific,Northeast,Raffaele Romano,carbon capture sorbent manufacturing,90,"Innovates in CO2 utilization, potentially needing advanced formulations",,,,,
Climeworks,Denver,CO,-4313,https://climeworks.com,https://linkedin.com/company/climeworks,Scientific,Rocky Mountain,Eric Maughan,carbon capture sorbent manufacturing,90,"Focuses on direct air capture, might benefit from formulation development",,,,,
Carbon Engineering,Houston,TX,-9157,https://carbonengineering.com,https://linkedin.com/company/carbonengineering,Scientific,Central,David Nelson,carbon capture sorbent manufacturing,90,"Develops carbon capture and storage technology, requiring formulation expertise",,,,,
AirCapture LLC,Seattle,WA,-7540,https://aircapture.com,https://linkedin.com/company/aircapture,Scientific,West Coast,Fernando Delgado,carbon capture sorbent manufacturing,90,"Works on carbon capture systems, could utilize formulation services",,,,,
CarbonFree Chemicals,Austin,TX,-4516,https://carbonfreechemicals.com,https://linkedin.com/company/carbonfreechemicals,Scientific,Central,David Nelson,carbon capture sorbent manufacturing,90,"Produces carbon-based chemicals, requiring sorbent formulations",,,,,
Opus 12,Berkeley,CA,-9829,https://opus-12.com,https://linkedin.com/company/opus12,Scientific,West Coast,Fernando Delgado,carbon capture sorbent manufacturing,90,"Develops carbon transformation technology, may need formulation services",,,,,
Charm Industrial,San Francisco,CA,-3309,https://charmindustrial.com,https://linkedin.com/company/charmindustrial,Scientific,West Coast,Fernando Delgado,carbon capture sorbent manufacturing,90,"Works on carbon removal by converting biomass, requiring formulation expertise",,,,,
CleanO2 Carbon Capture Technologies,Denver,CO,-8752,https://cleano2.ca,https://linkedin.com/company/cleano2,Scientific,Rocky Mountain,Eric Maughan,carbon capture sorbent manufacturing,90,"Focuses on carbon capture for HVAC systems, may need formulation development",,,,,
Heirloom Carbon Technologies,San Francisco,CA,-9729,https://heirloomcarbon.com,https://linkedin.com/company/heirloomcarbon,Scientific,West Coast,Fernando Delgado,carbon capture sorbent manufacturing,90,"Specializes in enhanced weathering for carbon capture, needing formulation expertise",,,,,
Remora Carbon,Ann Arbor,MI,-5848,https://remoracarbon.com,https://linkedin.com/company/remoracarbon,Scientific,Central,David Nelson,carbon capture sorbent manufacturing,90,"Develops mobile carbon capture systems, potentially requiring formulation services",,,,,
Ebb Carbon,San Francisco,CA,-7754,https://ebbcarbon.com,https://linkedin.com/company/ebbcarbon,Scientific,West Coast,Fernando Delgado,carbon capture sorbent manufacturing,90,"Works on ocean-based carbon capture, may need formulation development",,,,,
CarbonBuilt,Los Angeles,CA,-4332,https://carbonbuilt.com,https://linkedin.com/company/carbonbuilt,Scientific,West Coast,Fernando Delgado,carbon capture sorbent manufacturing,90,"Focuses on CO2 utilization in concrete, needing formulation expertise",,,,,
Mission Zero Technologies,Boston,MA,-3516,https://missionzero.tech,https://linkedin.com/company/missionzero,Scientific,Northeast,Raffaele Romano,carbon capture sorbent manufacturing,90,"Develops zero-emission technologies, potentially requiring formulation services",,,,,
Noya,San Francisco,CA,-9869,https://noyahq.com,https://linkedin.com/company/noya,Scientific,West Coast,Fernando Delgado,carbon capture sorbent manufacturing,90,"Specializes in direct air capture, may need new sorbent formulations",,,,,
42,Houston,TX,-8052,https://42dot0.com,https://linkedin.com/company/42dot0,Scientific,Central,David Nelson,carbon capture sorbent manufacturing,90,"Works on carbon capture and utilization technologies, requiring formulation services",,,,,
"Ceradyne, Inc.",Costa Mesa,CA,-1683,https://3m.com/ceramics,https://linkedin.com/company/3m,Engineering,West Coast,Fernando Delgado,advanced ceramics manufacturing,90,Specializes in ceramic components where tablet pressing is applicable,,,,,Yes
Corning Incorporated,Corning,NY,-10580,https://corning.com,https://linkedin.com/company/corning,Both,Northeast,Raffaele Romano,advanced ceramics manufacturing,100,Develops advanced ceramic materials for diverse applications,,,,,Yes
Blasch Precision Ceramics,Albany,NY,-2216,https://blaschceramics.com,https://linkedin.com/company/blasch-precision-ceramics,Engineering,Northeast,Raffaele Romano,advanced ceramics manufacturing,90,Specializes in ceramic shapes requiring precision tooling,,,,,Yes
Advanced Ceramics Manufacturing,Tucson,AZ,-2133,https://acmtucson.com,https://linkedin.com/company/advanced-ceramics-manufacturing,Engineering,Rocky Mountain,Eric Maughan,advanced ceramics manufacturing,90,Custom ceramic product manufacturing requiring advanced presses,,,,,Yes
"Ceramic Tech, Inc.",Conroe,TX,-11033,https://ceramictech.com,,Engineering,Central,David Nelson,advanced ceramics manufacturing,85,Manufactures ceramic components needing precision pressing,,,,,Yes
CoorsTek Medical,Fort Worth,TX,-10522,https://coorstekmedical.com,https://linkedin.com/company/coorstek-medical,Engineering,Central,David Nelson,advanced ceramics manufacturing,90,Produces medical-grade ceramics requiring precision tooling,,,,,Yes
Rauschert Industries,Dunn,NC,-4404,https://rauschert.com,https://linkedin.com/company/rauschert-industries,Engineering,Southeast,Danny Ambrose,advanced ceramics manufacturing,90,Manufactures technical ceramics needing advanced pressing solutions,,,,,Yes
"Ceramic Components & Technology, Inc.",Reno,NV,-7241,https://cctceramics.com,,Engineering,Rocky Mountain,Eric Maughan,advanced ceramics manufacturing,85,Specializes in ceramic parts needing sophisticated pressing tools,,,,,Yes
"Thermal Ceramics, Inc.",Augusta,GA,-5701,https://morganthermalceramics.com,https://linkedin.com/company/morgan-thermal-ceramics,Engineering,Southeast,Danny Ambrose,advanced ceramics manufacturing,90,Produces thermal ceramic solutions requiring precision tooling,,,,,Yes
McDanel Advanced Ceramic Technologies,Beaver Falls,PA,-4359,https://mcdanelceramics.com,https://linkedin.com/company/mcdanel-advanced-ceramic-technologies,Engineering,Northeast,Raffaele Romano,advanced ceramics manufacturing,90,Manufactures ceramic products needing advanced pressing technology,,,,,Yes
"LSP Industrial Ceramics, Inc.",Lambertville,NJ,-7264,https://lspceramics.com,https://linkedin.com/company/lsp-industrial-ceramics-inc,Engineering,Northeast,Raffaele Romano,advanced ceramics manufacturing,90,Supplies ceramic products requiring precision pressing tools,,,,,Yes
GKN Powder Metallurgy,Auburn Hills,MI,-8624,https://gknpm.com,https://linkedin.com/company/gkn-powder-metallurgy,Engineering,Central,David Nelson,powder metallurgy manufacturing,90,Major producer of metal powders and components,,,,,
Metco Division of Oerlikon,Westbury,NY,-2149,https://oerlikon.com/metco,https://linkedin.com/company/oerlikon-metco,Engineering,Northeast,Raffaele Romano,powder metallurgy manufacturing,90,Supplier of thermal spray and additive manufacturing powders,,,,,
Rio Tinto Metal Powders,Tracy,CA,-6043,https://riotinto.com,https://linkedin.com/company/rio-tinto,Engineering,West Coast,Fernando Delgado,powder metallurgy manufacturing,90,Supplier of high-quality metal powders for industrial use,,,,,
Sandvik Additive Manufacturing,Palm Coast,FL,-2830,https://home.sandvik,https://linkedin.com/company/sandvik,Engineering,Southeast,Danny Ambrose,powder metallurgy manufacturing,90,Provides metal powders and solutions for additive manufacturing,,,,,
Carpenter Additive,Bridgeville,PA,-2817,https://carpenteradditive.com,https://linkedin.com/company/carpenteradditive,Engineering,Northeast,Raffaele Romano,powder metallurgy manufacturing,90,Focuses on metal powder solutions for additive manufacturing,,,,,
Höganäs AB,Holliston,MA,-6804,https://hoganas.com,https://linkedin.com/company/hoganas-ab,Engineering,Northeast,Raffaele Romano,powder metallurgy manufacturing,90,Produces metal powders for industrial and consumer applications,,,,,
"Royal Metal Powders, Inc.",Maryville,TN,-10839,https://royalmetalpowders.com,,Engineering,Southeast,Danny Ambrose,powder metallurgy manufacturing,85,Provides a variety of metal powders for the powder metallurgy industry,,,,,
"US Metal Powders, Inc.",Flemington,NJ,-7143,https://usmetalpowders.com,https://linkedin.com/company/us-metal-powders-inc,Engineering,Northeast,Raffaele Romano,powder metallurgy manufacturing,90,Leader in the production of aluminum-based powders,,,,,
North American Höganäs,Johnstown,PA,-3146,https://nah.com,https://linkedin.com/company/north-american-hoganas,Engineering,Northeast,Raffaele Romano,powder metallurgy manufacturing,90,Supplies metal powders for various powder metallurgy applications,,,,,
Makin Metal Powders,Raleigh,NC,-2707,https://makin-metals.com,,Engineering,Southeast,Danny Ambrose,powder metallurgy manufacturing,85,Manufactures a range of metal powders for industrial use,,,,,
LPW Technology Inc.,Pittsburgh,PA,-2743,https://lpwtechnology.com,https://linkedin.com/company/lpw-technology,Engineering,Northeast,Raffaele Romano,powder metallurgy manufacturing,90,Specializes in metal powder production for additive manufacturing,,,,,
"Sumitomo Electric Carbide, Inc.",Mount Prospect,IL,-10814,https://sumicarbide.com,https://linkedin.com/company/sumitomo-electric-carbide,Engineering,Central,David Nelson,powder metallurgy manufacturing,90,Produces carbide cutting tools and powders,,,,,
Tekna Advanced Materials Inc.,Sherbrooke,VT,-3638,https://tekna.com,https://linkedin.com/company/tekna,Both,Northeast,Raffaele Romano,powder metallurgy manufacturing,100,Develops and produces advanced metal powders for industrial applications,,,,,
Arnold Magnetic Technologies,Rochester,NY,-9979,https://arnoldmagnetics.com,https://linkedin.com/company/arnold-magnetic-technologies,Engineering,Northeast,Raffaele Romano,rare earth magnet manufacturing,90,Produces high-performance magnets needing precision tooling,,,,,
Quadrant Magnetics,Louisville,KY,-9000,https://quadrantmagnetics.com,https://linkedin.com/company/quadrant-magnetics,Engineering,Southeast,Danny Ambrose,rare earth magnet manufacturing,90,Provides advanced magnetic solutions requiring precision processes,,,,,
"Molycorp, Inc.",Greenwood Village,CO,-9185,https://molycorp.com,,Engineering,Rocky Mountain,Eric Maughan,rare earth magnet manufacturing,85,Engaged in mining and processing rare earth elements,,,,,
Bunting Magnetics Co.,Newton,KS,-2619,https://buntingmagnetics.com,https://linkedin.com/company/bunting-magnetics-co-,Engineering,Central,David Nelson,rare earth magnet manufacturing,90,Manufacturer of magnetic technology products,,,,,
"Dura Magnetics, Inc.",Sylvania,OH,-8395,https://duramag.com,https://linkedin.com/company/dura-magnetics,Engineering,Central,David Nelson,rare earth magnet manufacturing,90,Provides custom magnet solutions requiring advanced engineering,,,,,
"Magnet Sales & Manufacturing, Inc.",Culver City,CA,-7913,https://magnetsales.com,,Engineering,West Coast,Fernando Delgado,rare earth magnet manufacturing,85,Offers a range of magnetic products and assembly services,,,,,
Integrated Magnetics,Culver City,CA,-7913,https://integratedmagnetics.com,https://linkedin.com/company/integrated-magnetics,Engineering,West Coast,Fernando Delgado,rare earth magnet manufacturing,90,Specializes in custom magnet and magnetic assembly solutions,,,,,
Apex Magnets,Petersburg,WV,-1753,https://apexmagnets.com,https://linkedin.com/company/apex-magnets,Engineering,Northeast,Raffaele Romano,rare earth magnet manufacturing,90,Supplier of rare earth magnets requiring high precision,,,,,
"Thomas & Skinner, Inc.",Indianapolis,IN,-8353,https://thomas-skinner.com,https://linkedin.com/company/thomas-&-skinner-inc-,Engineering,Central,David Nelson,rare earth magnet manufacturing,90,Leader in magnetic materials manufacturing,,,,,
"Applied Materials, Inc.",Santa Clara,CA,-6689,https://appliedmaterials.com,https://linkedin.com/company/applied-materials,Engineering,West Coast,Fernando Delgado,semiconductor materials,90,They manufacture semiconductor equipment which requires precision tooling.,,,,,
Broadcom Inc.,San Jose,CA,-8840,https://broadcom.com,https://linkedin.com/company/broadcom,Both,West Coast,Fernando Delgado,semiconductor materials,100,Involved in engineering and R&D for semiconductor solutions.,,,,,
Texas Instruments Incorporated,Dallas,TX,-3977,https://ti.com,https://linkedin.com/company/texas-instruments,Both,Central,David Nelson,semiconductor materials,100,Develops semiconductor technology with extensive R&D operations.,,,,,
"Micron Technology, Inc.",Boise,ID,-4575,https://micron.com,https://linkedin.com/company/micron-technology,Both,Rocky Mountain,Eric Maughan,semiconductor materials,100,Manufactures memory and storage solutions requiring advanced tooling.,,,,,
Qualcomm Incorporated,San Diego,CA,-2565,https://qualcomm.com,https://linkedin.com/company/qualcomm,Both,West Coast,Fernando Delgado,semiconductor materials,100,Develops semiconductors and telecommunications equipment.,,,,,
"Analog Devices, Inc.",Wilmington,MA,-7280,https://analog.com,https://linkedin.com/company/analog-devices,Both,Northeast,Raffaele Romano,semiconductor materials,100,Specializes in data conversion and signal processing technology.,,,,,
"Cree, Inc.",Durham,NC,-6625,https://cree.com,https://linkedin.com/company/cree,Both,Southeast,Danny Ambrose,semiconductor materials,100,Manufactures LED products and semiconductor materials.,,,,,
"Amkor Technology, Inc.",Tempe,AZ,-6300,https://amkor.com,https://linkedin.com/company/amkor-technology,Engineering,Rocky Mountain,Eric Maughan,semiconductor materials,90,Provides semiconductor packaging and test services.,,,,,
GlobalFoundries Inc.,Malta,NY,-9835,https://globalfoundries.com,https://linkedin.com/company/globalfoundries,Engineering,Northeast,Raffaele Romano,semiconductor materials,90,Leading semiconductor manufacturer with extensive tooling needs.,,,,,
"Qorvo, Inc.",Greensboro,NC,-2232,https://qorvo.com,https://linkedin.com/company/qorvo-inc,Both,Southeast,Danny Ambrose,semiconductor materials,100,"Produces RF solutions for mobile, infrastructure, and defense applications.",,,,,
Marvell Technology Group Ltd.,Santa Clara,CA,-3129,https://marvell.com,https://linkedin.com/company/marvell,Scientific,West Coast,Fernando Delgado,semiconductor materials,90,Engages in the development and research of data infrastructure technology.,,,,,
"Teradyne, Inc.",North Reading,MA,-4047,https://teradyne.com,https://linkedin.com/company/teradyne,Engineering,Northeast,Raffaele Romano,semiconductor materials,90,Supplier of automation equipment for semiconductor testing.,,,,,
Orbital ATK,Plymouth,MN,-6806,https://www.northropgrumman.com,https://linkedin.com/company/northrop-grumman,Both,Central,David Nelson,explosives propellant manufacturing,100,They manufacture propellants and require precise tablet pressing and formulation expertise.,,,,,
Aerojet Rocketdyne,Huntsville,AL,-6226,https://rocket.com,https://linkedin.com/company/aerojet-rocketdyne,Both,Southeast,Danny Ambrose,explosives propellant manufacturing,100,Involved in propellant production which requires advanced manufacturing equipment.,,,,,
Chemring Energetics,Downers Grove,IL,-8798,https://chemringenergetics.com,https://linkedin.com/company/chemring-group,Both,Central,David Nelson,explosives propellant manufacturing,100,Manufactures energetic materials requiring both engineering and scientific expertise.,,,,,
Dyno Nobel,Salt Lake City,UT,-5964,https://dynonobel.com,https://linkedin.com/company/dyno-nobel,Both,Rocky Mountain,Eric Maughan,explosives propellant manufacturing,100,Produces explosives and propellants needing precise tablet presses.,,,,,
Pacific Scientific Energetic Materials Company,Chandler,AZ,-8142,https://psemc.com,https://linkedin.com/company/pacific-scientific-energetic-materials-company,Both,Rocky Mountain,Eric Maughan,explosives propellant manufacturing,100,Develops energetic materials requiring advanced manufacturing solutions.,,,,,
Ensign-Bickford Aerospace & Defense Company,Simsbury,CT,-3722,https://ebad.com,https://linkedin.com/company/ensign-bickford-aerospace-defense,Both,Northeast,Raffaele Romano,explosives propellant manufacturing,100,Produces defense-related energetic materials requiring precise equipment.,,,,,
Austin Powder Company,Beachwood,OH,-3079,https://austinpowder.com,https://linkedin.com/company/austin-powder-company,Both,Central,David Nelson,explosives propellant manufacturing,100,Manufactures explosives needing specialized tablet pressing machinery.,,,,,
Hodgdon Powder Company,Shawnee,KS,-10729,https://hodgdon.com,https://linkedin.com/company/hodgdon-powder-company,Both,Central,David Nelson,explosives propellant manufacturing,100,Produces propellants needing precision manufacturing equipment.,,,,,
St. Marks Powder,St. Marks,FL,-8174,https://stmarkspowder.com,https://linkedin.com/company/st-marks-powder,Both,Southeast,Danny Ambrose,explosives propellant manufacturing,100,Engaged in propellant production requiring advanced tablet presses.,,,,,
American Ordnance,Middletown,IA,-8171,https://americanordnance.com,https://linkedin.com/company/american-ordnance,Both,Central,David Nelson,explosives propellant manufacturing,100,They produce ammunition and propellants requiring specialized equipment.,,,,,
Estes Industries,Penrose,CO,-7655,https://estesrockets.com,https://linkedin.com/company/estes-industries,Both,Rocky Mountain,Eric Maughan,explosives propellant manufacturing,100,Manufactures model rocket engines requiring precision engineering.,,,,,
Nammo Talley,Mesa,AZ,-3577,https://nammo.com,https://linkedin.com/company/nammo,Both,Rocky Mountain,Eric Maughan,explosives propellant manufacturing,100,Produces propellants requiring precise manufacturing equipment.,,,,,
"El Dorado Engineering, Inc.",Salt Lake City,UT,-11296,https://eldoradoengineering.com,https://linkedin.com/company/el-dorado-engineering-inc,Both,Rocky Mountain,Eric Maughan,explosives propellant manufacturing,100,Provides engineering services for propellant manufacturing processes.,,,,,
Vista Outdoor Inc.,Anoka,MN,-3385,https://vistaoutdoor.com,https://linkedin.com/company/vista-outdoor,Engineering,Central,David Nelson,ammunition manufacturing,90,Produces ammunition requiring advanced manufacturing processes,,,,,
"Remington Arms Company, LLC",Madison,NC,-10742,https://remington.com,https://linkedin.com/company/remington-arms-company,Engineering,Southeast,Danny Ambrose,ammunition manufacturing,90,Manufactures various ammunition types needing precision engineering,,,,,
Hornady Manufacturing Company,Grand Island,NE,-2079,https://hornady.com,https://linkedin.com/company/hornady,Engineering,Central,David Nelson,ammunition manufacturing,90,Produces bullets and ammunition with complex manufacturing needs,,,,,
Federal Premium Ammunition,Anoka,MN,-2910,https://federalpremium.com,https://linkedin.com/company/federal-premium-ammunition,Engineering,Central,David Nelson,ammunition manufacturing,90,Produces various ammunition lines requiring precision tooling,,,,,
"Barnes Bullets, LLC",Mona,UT,-10573,https://barnesbullets.com,https://linkedin.com/company/barnes-bullets,Engineering,Rocky Mountain,Eric Maughan,ammunition manufacturing,90,Produces bullets and requires precise manufacturing technologies,,,,,
"Nosler, Inc.",Bend,OR,-4785,https://nosler.com,https://linkedin.com/company/nosler-inc-,Engineering,West Coast,Fernando Delgado,ammunition manufacturing,90,Manufactures premium bullets and ammunition requiring advanced tooling,,,,,
Liberty Ammunition,Bradenton,FL,-7685,https://libertyammo.com,https://linkedin.com/company/liberty-ammunition,Engineering,Southeast,Danny Ambrose,ammunition manufacturing,90,Produces high-performance ammunition needing precision manufacturing,,,,,
Norma Precision Inc.,Savannah,GA,-11042,https://normashooting.com,,Engineering,Southeast,Danny Ambrose,ammunition manufacturing,85,Produces precision ammunition requiring advanced tooling and presses,,,,,
Winchester Ammunition,East Alton,IL,-2875,https://winchester.com,https://linkedin.com/company/winchester-ammunition,Engineering,Central,David Nelson,ammunition manufacturing,90,Produces a wide range of ammunition products requiring high-quality tooling,,,,,
Black Hills Ammunition,Rapid City,SD,-6102,https://black-hills.com,https://linkedin.com/company/black-hills-ammunition,Engineering,Central,David Nelson,ammunition manufacturing,90,Manufactures small arms ammunition needing advanced manufacturing processes,,,,,
Speer Ammunition,Lewiston,ID,-5066,https://speer.com,https://linkedin.com/company/speer-ammunition,Engineering,Rocky Mountain,Eric Maughan,ammunition manufacturing,90,Produces sport and law enforcement ammunition requiring precision engineering,,,,,
