Company,Industry,Tier,Division,Fit,Territory,City,State,Country,Contacts,Tier1 Reason
"BELCHER PHARMACEUTICALS, LLC",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Maringa,Parana,Brazil,12,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
GFR PHARMA LTD.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Coquitlam,British Columbia,Canada,12,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
BSC DISTRIBUTORS LTD.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Herzliya,Tel Aviv District,Israel,12,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Corden Pharma - A Full-Service CDMO,CDMO,Tier 1,Natoli Scientific,Formulation,International,Freiburg,Baden-Wuerttemberg,Germany,12,Contract development and manufacturing organization serving pharma clients with tablet production.
AEROJET - NM,Defense & Energetics,Tier 1,Natoli Engineering,Tooling,International,,,,11,Defense/energetics manufacturer with propellant or explosive pressing operations.
APOTEX RESEARCH PVT LTD,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Bengaluru,Karnataka,India,11,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
SUN PHARMA,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Mumbai,Maharashtra,India,11,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
PHARMA INTERNATIONAL,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Madrid,Community of Madrid,Spain,10,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
PHARMA NORD APS,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur,Malaysia,10,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Eirgen Pharma,CDMO,Tier 1,Natoli Scientific,Formulation,International,Waterford,Waterford,Ireland,10,Contract development and manufacturing organization serving pharma clients with tablet production.
DOUGLAS PHARMACEUTICALS FIJI LTD.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,9,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
INTERPHIL LABORATORIES INC.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Antony,Ile-de-France,France,9,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
TEVA HUNGARY ZRT.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Budapest,,Hungary,9,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Alfasigma México,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,Mexico City,Mexico,8,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
APR Applied Pharma Research s.a.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Balerna,Ticino,Switzerland,8,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
CLOROX SERVICES COMPANY,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,8,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
DR. REDDY'S LABORATORIES LTD.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Hyderabad,Telangana,India,8,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Johnson Matthey,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Santiago de Queretaro,Queretaro,Mexico,8,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Glenmark Pharmaceuticals,Generic Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Mohkhed,Madhya Pradesh,India,8,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
ACTAVIS LTD. MALTA,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,7,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
ACTAVIS UK,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,7,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
ALTUS FORMULATION INC.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Mirabel,Quebec,Canada,7,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
CAPSULE FACTORY NUTRACEUTICALS LTD.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Woodstock,Ontario,Canada,7,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"COREALIS PHARMA, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Laval,Quebec,Canada,7,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
EDENBRIDGE PHARMACEUTICALS LLC,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,7,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
ENORAMA PHARMA,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Malmoe,Skane County,Sweden,7,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Hetero México,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Mexico City,Federal District,Mexico,7,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Jerusalem Pharmaceuticals Co. Ltd.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Ramallah,Center District,,7,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
NATURAL FORMULAS,Nutraceutical,Tier 1,Natoli Scientific,Formulation,International,,,,7,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
NATURAL VITAMINS LABORATORY,Nutraceutical,Tier 1,Natoli Scientific,Formulation,International,Etten-Leur,Noord-Brabant,Netherlands,7,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
Nutrien,Nutraceutical,Tier 1,Natoli Scientific,Formulation,International,Saskatoon,Saskatchewan,Canada,7,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
ANDAPHARM LLC,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,7,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
OPSONIN PHARMA LTD.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,7,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Recipharm,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Stockholm,Stockholm County,Sweden,7,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
recipharm.es,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,7,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Mylan/DPT,Generic Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Canonsburg,Pennsylvania,Ireland,7,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Nestlé,Confectionery,Tier 1,Natoli Engineering,Tooling,International,Vevey,Vaud,Switzerland,7,Candy/mint manufacturer with high-volume tablet pressing operations.
Aspen Pharma Group,Generic Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Port Elizabeth,Eastern Cape,South Africa,7,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Animal Health,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Barcelona,Catalonia,Spain,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
AUSTRALIAN PHARMACEUTICAL MANUFACTURING,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Keysborough,Victoria,Australia,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
BDD,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Glasgow,Scotland,United Kingdom,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
BIO V PHARMA,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Dollard-Des Ormeaux,Quebec,Canada,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
BORA PHARMACEUTICAL LABORATORIES INC,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Eragny,Ile-de-France,France,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"BYO OPERATIONS, LLC",Nutraceutical,Tier 1,Natoli Scientific,Formulation,International,,,,6,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
COMBINO PHARM,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
COVAR PHARMACEUTICALS,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Mississauga,Ontario,Canada,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
DECHRA PHARMACEUTICALS MANUFACTURING,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Skipton,England,United Kingdom,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
DEEF PHARMACEUTICAL INDUSTRIES CO.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Al Majma'ah,Riyadh Province,Saudi Arabia,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
EL-KENDI PHARMACEUTICAL MANUFACTURING CO.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
EMERALD HEALTH THERAPEUTICS CANADA INC,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Saanich,British Columbia,Canada,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
FREMED PHARMACEUTICAL JOINT STOCK COMPANY (FREMED),Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,Ho Chi Minh,Vietnam,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
HEALTH INNOVATIONS,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Skipton,England,United Kingdom,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
INTELLIPHARMACEUTICS CORP.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Toronto,Ontario,Canada,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"KISSEI PHARMACEUTICAL CO., LTD.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Matsumoto,Nagano,Japan,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
LES LABORATORRES SERVIER INDUST,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Lindy Pharma S.A.P.I. de C.V.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Zapopan,Jalisco,Mexico,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
PHARMALINE INC.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Mississauga,Ontario,Canada,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
R.X. COMPANY LIMITED,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Bangkok,Bangkok,Thailand,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
STRIDES SHASUN LIMITED,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Singapore,Karnataka,Singapore,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"A&Z  PHARMACEUTICAL, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"CERAMATEC ,INC.",Advanced Ceramics,Tier 1,Natoli Engineering,Tooling,International,,,,6,Advanced ceramics producer with powder compaction for technical ceramic parts.
DANISH PHARMACEUTICAL IND LTD.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
PROPHARMA A/S,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
VIVA PHARMACEUTICAL INC.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Richmond,British Columbia,Canada,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
NOW NATURAL FOODS,Nutraceutical,Tier 1,Natoli Scientific,Formulation,International,Sofia,Sofia City Province,Bulgaria,6,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
"STA Pharmaceutical, a WuXi AppTec Company (WuXi STA)",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Shanghai,Shanghai,China,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"INVAGEN PHARMACEUTICALS, INC.",Generic Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Mumbai,Maharashtra,India,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
ARGENTA FORT DODGE,CDMO,Tier 1,Natoli Scientific,Formulation,International,Auckland,Auckland,New Zealand,6,Contract development and manufacturing organization serving pharma clients with tablet production.
Bora Pharmaceuticals,CDMO,Tier 1,Natoli Scientific,Formulation,International,,Taipei City,Taiwan,6,Contract development and manufacturing organization serving pharma clients with tablet production.
ACG World,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,Mumbai,India,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
ANPHARM,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,5,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
BAE SYSTEMS,Defense & Energetics,Tier 1,Natoli Engineering,Tooling,International,,England,United Kingdom,5,Defense/energetics manufacturer with propellant or explosive pressing operations.
BI Pharma Consultants,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Mexico City,Federal District,Mexico,5,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"CANDOO PHARMATECH COMPANY, INC",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Mississauga,Ontario,Canada,5,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Cellpack Electrical Products,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Waldshut-Tiengen,Baden-Wuerttemberg,Germany,5,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
COVETRUS NORTH AMERICA LLC,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,5,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
DR. PHARM,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Kanpur,Uttar Pradesh,India,5,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
GM PHARMACEUTICALS,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Stevenage,England,United Kingdom,5,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
JUNIPER PHARMA,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,5,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
MEDA PHARMACEUTICALS-IL,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,5,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
