company,city,state,phone,website,linkedin,division,territory,region,salesRep,industry,confidence,reason,aiDecision,aiCompression,aiDivision,aiConfidence,pressureSignals,competitors,aiSummary,gmpLikely,fdaLikely
Arch Chemicals,Norwalk,CT,,https://archchemicals.com,https://linkedin.com/company/arch-chemicals,Both,Northeast,Domestic,Raffaele Romano,pool chlorine tablet manufacturing,100,"Part of Lonza Group, focuses on pool and spa water treatment chemicals",MONITOR,medium,Both,75,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression in pool chlorine tablet manufacturing.,,
Areva,Charlotte,NC,,https://areva.com,https://linkedin.com/company/areva,Both,Southeast,Domestic,Danny Ambrose,nuclear fuel pellet manufacturing,100,"Engages in nuclear fuel cycle and technology solutions, requiring tablet press equipment.",EDUCATE,medium,Engineering,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression in nuclear fuel pellet manufacturing with potential risks that need to be addressed.,,
Arizona Nutritional Supplements (ANS),Chandler,AZ,,https://www.aznutritional.com,https://linkedin.com/company/arizona-nutritional-supplements,Both,Rocky Mountain,Domestic,Eric Maughan,private label supplements,100,Offers full-service contract manufacturing for tablets and other forms,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,Arizona Nutritional Supplements presents a medium opportunity for tablet compression improvements in their contract manufacturing process.,,
Aurobindo Pharma USA,East Windsor,NJ,,https://aurobindo.com,https://linkedin.com/company/aurobindo-pharma-usa-inc,Both,Northeast,Domestic,Raffaele Romano,otc tablet manufacturing,100,Produces a wide range of pharmaceutical products including tablets,MONITOR,medium,Both,75,low pressure; medium pressure; high pressure,Fette; Korsch,"Aurobindo Pharma USA, Inc. has medium compression opportunities in OTC tablet manufacturing with associated risks that require monitoring.",,
Avista Pharma Solutions,Durham,NC,,https://avistapharma.com,https://linkedin.com/company/avista-pharma-solutions,Both,Southeast,Domestic,Danny Ambrose,dissolution testing laboratory,100,Provides a wide range of services including formulation and manufacturing for solid dosage forms,MONITOR,medium,Both,75,inconsistent tablet hardness; variability in dissolution rates,Fette; Korsch,There is a medium opportunity for improving tablet compression processes at Avista Pharma Solutions to enhance product consistency.,,
Axens North America,Princeton,NJ,,https://axens.net,https://linkedin.com/company/axens,Both,Northeast,Domestic,Raffaele Romano,catalyst pellet manufacturing,100,"Offers technologies for refining and petrochemical processes, including catalysts",DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified in catalyst pellet manufacturing.,,
Ayr Wellness,Miami,FL,,https://ayrwellness.com,https://linkedin.com/company/ayr-wellness,Both,Southeast,Domestic,Danny Ambrose,cannabis tablet manufacturing,100,Develops and manufactures cannabis tablets,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,Ayr Wellness has a medium opportunity for improving tablet compression in cannabis tablet manufacturing.,,
BPI Sports,Hollywood,FL,,https://bpisports.com,https://linkedin.com/company/bpi-sports,Both,Southeast,Domestic,Danny Ambrose,creatine tablets,100,Develops and manufactures sports nutrition products,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression in the development of creatine tablets for BPI Sports.,,
BPN,Round Rock,TX,,https://bareperformancenutrition.com,https://linkedin.com/company/bare-performance-nutrition,Both,Central,Domestic,David Nelson,electrolyte tablets,100,Produces electrolyte supplements for athletes,ENGAGE,high,Both,85,high pressure during compression; inconsistent tablet density; tablet capping,Fette; Korsch,There is a significant opportunity to optimize tablet compression for BPN's electrolyte tablets to enhance product quality and manufacturing efficiency.,,
Balance of Nature,Saint George,UT,,https://balanceofnature.com,https://linkedin.com/company/balance-of-nature,Both,Rocky Mountain,Domestic,Eric Maughan,vitamin tablet manufacturing,100,Manufactures plant-based nutritional supplements,ENGAGE,medium,Both,80,high pressure; medium pressure; low pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression in plant-based nutritional supplements to enhance product quality.,,
Ball Aerospace,Broomfield,CO,,https://ballaerospace.com,https://linkedin.com/company/ball-aerospace,Both,Rocky Mountain,Domestic,Eric Maughan,space materials manufacturing,100,"Develops spacecraft systems, benefiting from advanced tooling and formulation support.",MONITOR,none,None,70,,,No immediate tablet compression opportunities identified in Ball Aerospace's current operations.,,
Bare Escentuals,San Francisco,CA,,https://www.bareminerals.com,https://linkedin.com/company/bare-escentuals,Both,West Coast,Domestic,Fernando Delgado,cosmetics pressed powder,100,"Specializes in mineral-based cosmetics, including pressed powders",MONITOR,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression in mineral-based pressed powders.,,
BarkBox,New York,NY,,https://www.barkbox.com,https://linkedin.com/company/barkbox,Both,Northeast,Domestic,Raffaele Romano,pet dental chew tablets,100,"Offers subscription pet products, including dental chews, needing advanced production and formulation capabilities.",ENGAGE,medium,Both,80,high pressure during compression; inconsistent tablet density,Fette; Korsch,BarkBox presents a medium opportunity for tablet compression improvements due to the need for advanced production capabilities in dental chew tablets.,,
Becca Cosmetics,New York,NY,,https://www.beccacosmetics.com,https://linkedin.com/company/beccacosmetics,Both,Northeast,Domestic,Raffaele Romano,cosmetics pressed powder,100,Produces high-end cosmetics including pressed powders,ENGAGE,medium,Both,80,high pressure; medium pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression processes in pressed powder production for Becca Cosmetics.,,
Bell Laboratories,Madison,WI,,https://www.belllabs.com,https://linkedin.com/company/bell-laboratories-inc,Both,Central,Domestic,David Nelson,pest control tablets,100,Produces rodent control tablets and requires both engineering and scientific services,ENGAGE,high,Both,85,high pressure; medium pressure,Fette; Korsch,"There is a significant opportunity to enhance the tablet compression process for pest control tablets at Bell Laboratories, Inc.",,
Bend Research,Bend,OR,,https://bendresearch.com,https://linkedin.com/company/bend-research,Both,West Coast,Domestic,Fernando Delgado,spray drying laboratory,100,Provides formulation development and manufacturing for solid oral dosage forms,EDUCATE,medium,Both,80,low pressure; medium pressure,Fette; Korsch,Bend Research presents a medium opportunity for tablet compression improvements through enhanced formulation development.,,
Bio Pac,Petaluma,CA,,https://biopac.com,https://linkedin.com/company/bio-pac-inc,Both,West Coast,Domestic,Fernando Delgado,toilet bowl cleaner tablets,100,Manufactures eco-friendly cleaning products including toilet cleaner tablets,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression in eco-friendly toilet bowl cleaner tablets.,,
Bio-Botanica,Hauppauge,NY,,https://www.bio-botanica.com,https://linkedin.com/company/bio-botanica-inc,Both,Northeast,Domestic,Raffaele Romano,beauty supplement tablets,100,Supplies botanical extracts for beauty and dietary supplements,ENGAGE,medium,Both,80,low pressure; medium pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression in beauty supplement tablets with potential risks to consider.,,
BioDuro-Sundia,San Diego,CA,,https://bioduro-sundia.com,https://linkedin.com/company/bioduro-sundia,Both,West Coast,Domestic,Fernando Delgado,clinical trial manufacturing,100,Offers integrated drug discovery and development services including solid dose manufacturing,MONITOR,medium,Both,75,inconsistent tablet weight; high rejection rates; variability in tablet hardness,Fette; Korsch,There is a medium opportunity for improving tablet compression processes at BioDuro-Sundia to enhance manufacturing efficiency.,,
BioWorks,Victor,NY,,https://bioworksinc.com,https://linkedin.com/company/bioworks-inc,Both,Northeast,Domestic,Raffaele Romano,agricultural fertilizer tablets,100,"Develops biological control products, possibly needing tablet or pellet formulations.",ENGAGE,medium,Both,80,inconsistent tablet density; tablet breakage during handling; variability in dissolution rates,Fette; Korsch,"There is a medium opportunity for tablet compression in agricultural fertilizer tablets, with potential risks and the need for engagement.",,
BioZyme Incorporated,Saint Joseph,MO,,https://www.biozymeinc.com,https://linkedin.com/company/biozyme-inc,Both,Central,Domestic,David Nelson,animal feed supplements,100,"Manufactures animal health and nutrition products, needing tablet and formulation services.",ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,BioZyme Incorporated presents a medium opportunity for tablet compression services in the animal health sector.,,
Blue Buffalo,Wilton,CT,,https://www.bluebuffalo.com,https://linkedin.com/company/blue-buffalo-co,Both,Northeast,Domestic,Raffaele Romano,pet joint health tablets,100,"Produces pet foods and health supplements, requiring both R&D and manufacturing capabilities.",ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression improvements in Blue Buffalo's pet joint health tablets.,,
Bluebonnet Nutrition,Sugar Land,TX,,https://bluebonnetnutrition.com,https://linkedin.com/company/bluebonnet-nutrition-corporation,Both,Central,Domestic,David Nelson,herbal supplement tablets,100,Produces a wide range of herbal supplements,ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,Bluebonnet Nutrition has a medium opportunity for optimizing tablet compression in their herbal supplement production.,,
BodyHealth,Dunedin,FL,,https://bodyhealth.com,https://linkedin.com/company/bodyhealth,Both,Southeast,Domestic,Danny Ambrose,electrolyte tablets,100,Manufactures health supplements including electrolyte tablets,ENGAGE,medium,Both,80,high pressure; medium pressure,Fette; Korsch,"There is a medium opportunity for improving tablet compression in BodyHealth's electrolyte tablets, with manageable risks and competitive presence.",,
Bodybuilding.com,Boise,ID,,https://bodybuilding.com,https://linkedin.com/company/bodybuilding-com,Both,Rocky Mountain,Domestic,Eric Maughan,sports nutrition tablets,100,Sells and develops sports nutrition products.,ENGAGE,medium,Both,80,high pressure; medium pressure,Fette; Korsch,There is a medium compression opportunity in the sports nutrition tablet market with potential risks that need to be addressed.,,
BrainMD Health,Costa Mesa,CA,,https://brainmd.com,https://linkedin.com/company/brainmd-health,Both,West Coast,Domestic,Fernando Delgado,nootropic tablet manufacturing,100,"Specializes in brain health supplements, including nootropics, needing engineering and formulation support.",ENGAGE,medium,Both,80,high pressure during compression; inconsistent tablet hardness; tablet weight variation,Fette; Korsch,There is a medium opportunity for tablet compression improvements in BrainMD Health's nootropic manufacturing process.,,
Bulletproof 360,Seattle,WA,,https://bulletproof.com,https://linkedin.com/company/bulletproof-360,Both,West Coast,Domestic,Fernando Delgado,brain health tablets,100,Provides dietary products and supplements for cognitive performance,MONITOR,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression improvements in brain health tablets with potential risks to monitor.,,
Butterfield Color,Mundelein,IL,,https://butterfieldcolor.com,https://linkedin.com/company/butterfield-color,Both,Central,Domestic,David Nelson,concrete cleaner tablets,100,Produces decorative concrete products including cleaners,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression in the production of concrete cleaner tablets.,,
CV Sciences,San Diego,CA,,https://cvsciences.com,https://linkedin.com/company/cv-sciences,Both,West Coast,Domestic,Fernando Delgado,cbd tablet manufacturing,100,Produces CBD-based products including dietary supplements and tablets.,ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,CV Sciences has a medium opportunity for improving tablet compression in their CBD tablet manufacturing process.,,
CarbonBuilt,Los Angeles,CA,,https://carbonbuilt.com,https://linkedin.com/company/carbonbuilt,Both,West Coast,Domestic,Fernando Delgado,carbon capture sorbent manufacturing,100,"Incorporates carbon capture in concrete production, potentially needing formulation and tablet expertise",ENGAGE,medium,Both,80,increased demand for sustainable materials; regulatory pressures for carbon reduction,Fette; Korsch,There is a medium opportunity for tablet compression expertise in the carbon capture sorbent manufacturing for concrete production.,,
Central Garden & Pet Company,Walnut Creek,CA,,https://www.central.com,https://linkedin.com/company/central-garden-&-pet,Both,West Coast,Domestic,Fernando Delgado,pest control tablets,100,"Offers pest control solutions including tablets, requiring both manufacturing and R&D capabilities",ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression in pest control tablets for Central Garden & Pet Company.,,
Ceva Animal Health,Lenexa,KS,,https://www.ceva.us,https://linkedin.com/company/ceva-sante-animale,Both,Central,Domestic,David Nelson,veterinary tablet manufacturing,100,Supplies veterinary tablets and other dosage forms,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,Ceva Animal Health has a medium opportunity for improving tablet compression processes in veterinary tablet manufacturing.,,
ChemMasters,Madison,OH,,https://chemmasters.net,https://linkedin.com/company/chemmasters-inc,Both,Central,Domestic,David Nelson,concrete cleaner tablets,100,Manufactures chemicals for concrete including cleaning agents,ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression in ChemMasters' concrete cleaner tablets.,,
Chevron Phillips Chemical Company,The Woodlands,TX,,https://cpchem.com,https://linkedin.com/company/chevron-phillips-chemical-company,Both,Central,Domestic,David Nelson,catalyst pellet manufacturing,100,Chemical company with catalyst production capabilities,MONITOR,medium,Both,75,inconsistent tablet density; high wear on tooling; increased energy consumption,Fette; Korsch,There are moderate opportunities for improving tablet compression processes in catalyst pellet manufacturing.,,
Clearon,South Charleston,WV,,https://clearon.com,https://linkedin.com/company/clearon-corp,Both,Northeast,Domestic,Raffaele Romano,pool chlorine tablet manufacturing,100,Produces chlorinated isocyanurates used in pool sanitation,MONITOR,medium,Engineering,75,low pressure; high pressure,Fette; Korsch,"Clearon Corp has a medium opportunity for tablet compression improvements, particularly in managing pressure variations.",,
Clif Bar & Company,Emeryville,CA,,https://clifbar.com,https://linkedin.com/company/clif-bar,Both,West Coast,Domestic,Fernando Delgado,electrolyte tablets,100,Offers electrolyte and energy products,ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression in electrolyte tablets for Clif Bar & Company.,,
Colgate-Palmolive Company,New York,NY,,https://colgatepalmolive.com,https://linkedin.com/company/colgate-palmolive,Both,Northeast,Domestic,Raffaele Romano,dishwasher tablet manufacturing,100,"Manufactures various consumer products, including dishwasher tablets",MONITOR,medium,Both,75,low pressure; medium pressure; high pressure,Fette; Korsch,Colgate-Palmolive has a medium opportunity for optimizing tablet compression in their dishwasher tablet manufacturing process.,,
Columbia Machine,Vancouver,WA,,https://columbiamachine.com,https://linkedin.com/company/columbia-machine-inc,Both,West Coast,Domestic,Fernando Delgado,concrete cleaner tablets,100,Produces concrete products including cleaning tablets,MONITOR,medium,Engineering,75,low pressure; medium pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression in concrete cleaner tablets.,,
Concrete Sealants,New Carlisle,OH,,https://conseal.com,https://linkedin.com/company/concrete-sealants-inc,Both,Central,Domestic,David Nelson,concrete cleaner tablets,100,Manufactures tablets for concrete cleaning and sealing applications,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,"There is a medium opportunity for improving tablet compression in concrete cleaner tablets, with potential risks that need to be managed.",,
Coty,New York,NY,,https://www.coty.com,https://linkedin.com/company/coty,Both,Northeast,Domestic,Raffaele Romano,cosmetics pressed powder,100,Global beauty company with significant pressed powder product lines,ENGAGE,high,Both,85,high pressure; medium pressure,Fette; Korsch,Coty Inc. presents a significant opportunity for tablet compression optimization in their pressed powder product lines.,,
Crane Aerospace & Electronics,Lynnwood,WA,,https://craneae.com,https://linkedin.com/company/crane-aerospace-electronics,Both,West Coast,Domestic,Fernando Delgado,thermoelectric materials,100,Produces high-reliability components that may include thermoelectric materials.,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified in thermoelectric materials production.,,
DPT Laboratories,San Antonio,TX,,https://dptlabs.com,https://linkedin.com/company/dpt-laboratories,Both,Central,Domestic,David Nelson,cdmo tablet manufacturing,100,CDMO specializing in semi-solid and solid dosage forms,MONITOR,medium,Both,75,low pressure; medium pressure; high pressure,Fette; Korsch,DPT Laboratories presents a medium opportunity for tablet compression improvements with potential risks that need monitoring.,,
Diamond V,Cedar Rapids,IA,,https://www.diamondv.com,https://linkedin.com/company/diamond-v-mills,Both,Central,Domestic,David Nelson,animal feed supplements,100,"Engages in animal health and nutrition, requiring both formulation and tablet production.",ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression in animal feed supplements with manageable risks and competitive presence.,,
Down To Earth Distributors,Eugene,OR,,https://downtoearthdistributors.com,https://linkedin.com/company/down-to-earth-fertilizers,Both,West Coast,Domestic,Fernando Delgado,plant food tablets,100,Produces natural fertilizers and soil amendments,ENGAGE,medium,Both,80,low pressure; optimal pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression in plant food tablets to enhance product consistency and performance.,,
Dr. Earth,Winters,CA,,https://drearth.com,https://linkedin.com/company/dr-earth,Both,West Coast,Domestic,Fernando Delgado,plant food tablets,100,Produces organic fertilizers and plant foods,EDUCATE,medium,Both,75,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression in organic fertilizers and plant foods.,,
EFS Electrolyte Fuel System,Salinas,CA,,https://firstendurance.com,https://linkedin.com/company/first-endurance,Both,West Coast,Domestic,Fernando Delgado,electrolyte tablets,100,Produces electrolyte supplements for athletes,ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for optimizing tablet compression in the production of electrolyte supplements for athletes.,,
EPCOS,Iselin,NJ,,https://epcos.com,https://linkedin.com/company/epcos,Both,Northeast,Domestic,Raffaele Romano,piezoelectric ceramics,100,Produces electronic components including piezoelectric ceramics,DEPRIORITIZE,none,None,70,,,"No tablet compression opportunities identified for EPCOS, Inc.",,
Earth Animal,Southport,CT,,https://www.earthanimal.com,https://linkedin.com/company/earth-animal,Both,Northeast,Domestic,Raffaele Romano,pet dental chew tablets,100,"Produces a range of pet products, including dental chews, requiring precise formulation and manufacturing.",ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression in pet dental chew tablets to enhance product consistency and quality.,,
Edge Pharma,Colchester,VT,,https://edgepharma.com,https://linkedin.com/company/edge-pharma,Both,Northeast,Domestic,Raffaele Romano,503b outsourcing facility,100,Offers sterile and non-sterile compounded medications,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified for Edge Pharma's current operations.,,
