Company,City,State,Phone,Website,LinkedIn,Natoli Fit,Territory,Sales Rep,Industry,Confidence,Reason,503A,503B,GMP Likely,FDA Likely,Industry Match,Email_Subject,LinkedIn_Opening,Natoli_Angle,Press_OEM,Probable_Defects,Production_Stage,Tooling_Class
Sepion Technologies,Alameda,CA,-5742,https://sepiontechnologies.com,https://linkedin.com/company/sepion-technologies,Scientific,West Coast,Fernando Delgado,battery electrode manufacturing,90,Specializes in membrane technology for batteries,,,,,Yes,Enhancing Your Tablet Production Efficiency,"Hi, I see you're innovating in battery electrode manufacturing. I'd love to connect and discuss tablet production solutions.",Discussing custom tooling solutions for unique formulations.,Fette,"Weight variation, capping, sticking",R&D,Custom
NOHMs Technologies,Rochester,NY,-10428,https://nohmstech.com,https://linkedin.com/company/nohms-technologies,Scientific,Northeast,Raffaele Romano,battery electrode manufacturing,90,Develops advanced battery electrolytes,,,,,Yes,Enhancing Your Tablet Production Process,"Hi, I noticed your work in battery electrode manufacturing. I'd love to connect and discuss potential synergies in tablet production.",Discussing custom tooling solutions for unique formulations.,Korsch,"Weight variation, capping, sticking",R&D,Custom
ZincFive,Tualatin,OR,-4418,https://zincfive.com,https://linkedin.com/company/zincfive,Scientific,West Coast,Fernando Delgado,battery electrode manufacturing,90,Creates nickel-zinc battery solutions,,,,,Yes,Enhancing Your Tablet Production Efficiency,"Hi, I noticed your work at ZincFive. I'd love to connect and discuss tablet manufacturing solutions that could support your innovations.",Discussing custom tooling solutions for unique formulations.,"Fette, Korsch","Weight variation, capping, sticking",R&D,Custom
Natron Energy,Santa Clara,CA,-6262,https://natron.energy,https://linkedin.com/company/natron-energy,Scientific,West Coast,Fernando Delgado,battery electrode manufacturing,90,Develops sodium-ion battery technology,,,,,Yes,Exploring Custom Tooling Solutions,"Hi, I noticed your work at Natron Energy. I'd love to connect and discuss innovative solutions for your tablet manufacturing needs.",Discussing custom tooling solutions for unique formulations.,Korsch,"weight variation, capping, sticking",R&D,Custom
Battery Resourcers,Worcester,MA,-4516,https://batteryresourcers.com,https://linkedin.com/company/battery-resourcers,Scientific,Northeast,Raffaele Romano,battery electrode manufacturing,90,Focuses on lithium-ion battery recycling and materials,,,,,Yes,Enhancing Your Tablet Production Process,"Hi, I see Battery Resourcers is innovating in electrode manufacturing. I'd love to connect and discuss tablet production insights.",Discussing custom tooling solutions for unique formulations.,IMA,"weight variation, capping, sticking",R&D,Custom
"Lithion Battery, Inc.",Henderson,NV,-4769,https://lithionbattery.com,https://linkedin.com/company/lithion-battery-inc,Engineering,Rocky Mountain,Eric Maughan,lithium ion battery materials,90,"Manufactures lithium-ion cells, needing precise engineering solutions",,,,,Yes,Enhancing Your Tablet Production Process,"Hi, I noticed Lithion Battery's innovative work in battery materials. I'd love to connect and discuss tablet manufacturing solutions.",Discussing custom tooling solutions for unique material properties.,IMA,"weight variation, capping, sticking",R&D,Custom
"KULR Technology Group, Inc.",San Diego,CA,-6317,https://kulrtechnology.com,https://linkedin.com/company/kulr-technology-group-inc,Engineering,West Coast,Fernando Delgado,lithium ion battery materials,90,"Develops thermal management solutions for batteries, needing engineering expertise",,,,,Yes,Exploring Custom Tooling Solutions,"Hi, I noticed KULR's innovative work in battery materials. I'd love to connect and discuss tablet manufacturing solutions.",Discussing custom tooling solutions for unique formulations.,IMA,"weight variation, capping, sticking",R&D,Custom
Ionic Materials,Woburn,MA,-7259,https://ionicmaterials.com,https://linkedin.com/company/ionic-materials,Scientific,Northeast,Raffaele Romano,solid state battery manufacturing,90,Developing solid polymer electrolyte for batteries,,,,,Yes,Exploring Custom Tooling Solutions,"Hi, I noticed your work in solid state batteries. I'd love to connect and discuss innovative solutions in tablet manufacturing.",Discussing custom tooling solutions for unique formulations.,IMA,"Weight variation, capping, sticking",R&D,Custom
Sakti3,Ann Arbor,MI,,https://sakti3.com,,Scientific,Central,David Nelson,solid state battery manufacturing,75,Develops solid-state battery technology for enhanced energy storage,,,,,Yes,Exploring Custom Tooling Solutions,"Hi, I noticed your work at Sakti3. I'd love to connect and discuss innovative solutions in solid-state manufacturing.",Discussing custom tooling solutions for unique formulations.,IMA,"Weight variation, capping, sticking",R&D,Custom
"Prieto Battery, Inc.",Fort Collins,CO,-2998,https://prietobattery.com,https://linkedin.com/company/prieto-battery,Scientific,Rocky Mountain,Eric Maughan,solid state battery manufacturing,90,Develops 3D solid-state battery technology,,,,,Yes,Enhancing Your Tablet Production Process,"Hi, I see you're innovating in solid state batteries. I'd love to connect and discuss tablet manufacturing solutions.",Discussing custom tooling solutions for unique formulations.,Fette,"Weight variation, capping, sticking",R&D,Custom
StoreDot,San Francisco,CA,,https://storedot.com,https://linkedin.com/company/storedot-battery,Scientific,West Coast,Fernando Delgado,solid state battery manufacturing,80,Developing fast-charging battery technology with potential solid-state integration,,,,,Yes,Exploring Custom Tooling Solutions,"Hi, I noticed your work in solid state batteries. I'd love to connect and discuss innovative solutions in tablet manufacturing.",Discussing custom tooling solutions for unique formulations.,IMA,"Weight variation, sticking",R&D,Custom
"EnPower, Inc.",Phoenix,AZ,-4774,https://enpowerinc.com,https://linkedin.com/company/enpower-inc,Scientific,Rocky Mountain,Eric Maughan,solid state battery manufacturing,90,"Develops advanced batteries focusing on energy density and safety, relevant for solid-state technology",,,,,Yes,Enhancing Your Tablet Production Process,"Hi, I see you're innovating in solid state batteries. I'd love to connect and discuss tablet manufacturing solutions.",Discussing custom tooling solutions for unique formulations.,IMA,"Weight variation, capping, sticking",R&D,Custom
"Celgard, LLC",Charlotte,NC,-6601,https://celgard.com,https://linkedin.com/company/celgard,Scientific,Southeast,Danny Ambrose,solid state battery manufacturing,90,"Supplies separators for lithium-ion batteries, exploring solid-state applications",,,,,Yes,Exploring Custom Tooling Solutions,"Hi, I noticed your work in solid state batteries. I'd love to connect and discuss innovative tooling solutions for your R&D efforts.",Discussing custom tooling solutions for unique formulations.,"Fette, Korsch","Weight variation, capping, sticking",R&D,Custom
ProLogium Technology,Fremont,CA,,https://prologium.com,https://linkedin.com/company/prologium-technology,Scientific,West Coast,Fernando Delgado,solid state battery manufacturing,80,Specializes in solid-state battery manufacturing,,,,,Yes,Enhancing Your Tablet Production Process,"Hi, I see you're innovating in solid state batteries. I'd love to connect and discuss tablet manufacturing solutions.",Discussing custom tooling solutions for unique formulations.,"Fette, Korsch","Weight variation, capping, sticking",R&D,Custom
Northvolt,Palo Alto,CA,,https://northvolt.com,https://linkedin.com/company/northvolt,Scientific,West Coast,Fernando Delgado,solid state battery manufacturing,80,Developing sustainable battery solutions with solid-state potential,,,,,Yes,Enhancing Your Tablet Production Process,"Hi, I noticed your work in solid state batteries. I'd love to connect and discuss innovations in tablet manufacturing.",Discussing custom tooling solutions for unique formulations.,IMA,"Weight variation, capping",R&D,Custom
"Actnano, Inc.",Cambridge,MA,-3891,https://actnano.com,https://linkedin.com/company/actnano,Scientific,Northeast,Raffaele Romano,solid state battery manufacturing,90,"Provides advanced coatings for electronics, applicable in solid-state battery protection",,,,,Yes,Enhancing Your Tablet Production Process,"Hi, I noticed your work in solid state batteries. I'd love to connect and discuss potential innovations in tablet manufacturing.",Discussing custom tooling solutions for unique formulations.,Fette,"Weight variation, capping, sticking",R&D,Custom
FirstEnergy Solutions Corp.,Akron,OH,-4937,https://firstenergycorp.com,https://linkedin.com/company/firstenergy,Both,Central,David Nelson,nuclear fuel pellet manufacturing,100,Operates nuclear power facilities,,,,,Yes,Enhancing Your Tablet Production Efficiency,"Hi, I noticed your work in nuclear fuel manufacturing. I'd love to connect and discuss tablet production solutions.",Discussing custom tooling solutions for unique pellet shapes.,"IMA, Stokes","Weight variation, capping, sticking",Commercial,Custom
Florida Power & Light Company,Juno Beach,FL,-5254,https://fpl.com,https://linkedin.com/company/florida-power-&-light-company,Both,Southeast,Danny Ambrose,nuclear fuel pellet manufacturing,100,Utilizes nuclear energy for electricity generation,,,,,Yes,Enhancing Your Tablet Production Efficiency,"Hi, I noticed your work in nuclear fuel manufacturing. I'd love to connect and discuss tablet production efficiencies.",Discussing custom tooling solutions for unique formulations.,IMA,"Weight variation, capping, sticking",Commercial,Custom
Arizona Public Service Company,Phoenix,AZ,-8143,https://aps.com,https://linkedin.com/company/arizona-public-service-aps,Both,Rocky Mountain,Eric Maughan,nuclear fuel pellet manufacturing,100,Operates nuclear power plants,,,,,Yes,Enhancing Your Tablet Production Efficiency,"Hi, I noticed your work in nuclear fuel manufacturing. I'd love to connect and discuss tablet production insights.",Discussing custom tooling solutions for unique formulations.,Fette,"Weight variation, capping, sticking",Commercial,Custom
"NextEra Energy, Inc.",Juno Beach,FL,-5254,https://nexteraenergy.com,https://linkedin.com/company/nextera-energy-inc,Both,Southeast,Danny Ambrose,nuclear fuel pellet manufacturing,100,Engages in nuclear energy production,,,,,Yes,Enhancing Your Tablet Production Efficiency,"Hi, I noticed your work in nuclear fuel manufacturing. I'd love to connect and discuss tablet production solutions that could benefit your processes.",Discussing custom tooling solutions for unique compaction needs.,Korsch,"Weight variation, capping, sticking",Commercial,Custom
Public Service Enterprise Group Incorporated,Newark,NJ,-8402,https://pseg.com,https://linkedin.com/company/public-service-enterprise-group-pseg,Both,Northeast,Raffaele Romano,nuclear fuel pellet manufacturing,100,Operates nuclear power plants,,,,,Yes,Enhancing Your Tablet Production Efficiency,"Hi, I noticed your work in nuclear fuel manufacturing. I'd love to connect and discuss tablet production solutions.",Discussing custom tooling solutions for unique formulations.,"Fette, Korsch","Weight variation, capping, sticking",Commercial,Custom
"Membrane Technology and Research, Inc.",Newark,CA,-3205,https://mtrinc.com,https://linkedin.com/company/membrane-technology-and-research-inc,Scientific,West Coast,Fernando Delgado,carbon capture sorbent manufacturing,90,Specializes in membrane-based systems for carbon capture,,,,,,Enhancing Your Tablet Production Process,"Hi, I noticed your work in carbon capture. I'd love to connect and discuss innovative tablet manufacturing solutions.",Discussing custom tooling solutions for unique formulations.,Fette,"Weight variation, capping, sticking",R&D,Custom
Global CCS Institute,Washington,DC,-4362,https://globalccsinstitute.com,https://linkedin.com/company/global-ccs-institute,Scientific,Northeast,Raffaele Romano,carbon capture sorbent manufacturing,90,Focuses on carbon capture and storage solutions,,,,,,Enhancing Your Tablet Production Process,"Hi, I see you're innovating in carbon capture. I'd love to connect and discuss tablet manufacturing solutions that could support your efforts.",Discussing custom tooling solutions for unique formulations.,"Fette, Korsch","weight variation, capping, sticking",R&D,Custom
Shell Global Solutions,Houston,TX,-7114,https://shell.com,https://linkedin.com/company/shell,Both,Central,David Nelson,carbon capture sorbent manufacturing,100,Involved in carbon capture and storage initiatives,,,,,,Enhancing Your Tablet Production Efficiency,"Hi, I noticed your work in carbon capture. I'd love to connect and discuss innovative solutions in tablet manufacturing.",Discussing custom tooling solutions for unique formulations.,IMA,"Weight variation, capping, sticking",R&D,Custom
GE Power,Atlanta,GA,-8321,https://ge.com/power,https://linkedin.com/company/gepower,Engineering,Southeast,Danny Ambrose,carbon capture sorbent manufacturing,90,Develops technologies for carbon capture in power plants,,,,,,Enhancing Your Tablet Production Process,"Hi, I noticed your work in carbon capture. I'd love to connect and discuss tablet manufacturing solutions that could support your innovations.",Discussing custom tooling solutions for unique formulations.,"Fette, Korsch","Weight variation, capping, sticking",R&D,Custom
TAM Ceramics,Niagara Falls,NY,-10393,https://tamceramics.com,https://linkedin.com/company/tam-ceramics,Engineering,Northeast,Raffaele Romano,advanced ceramics manufacturing,90,Produces zirconia and other ceramic materials for industrial use,,,,,Yes,Enhance Your Tablet Production Efficiency,"Hi, I see you're in advanced ceramics. I'd love to connect and discuss innovative solutions for your tablet production needs.",Discussing custom tooling solutions for unique formulations.,Korsch,"Weight variation, capping, sticking",R&D,Custom
Advanced Industrial Ceramics,Portland,OR,-6787,https://advancedindustrialceramics.com,https://linkedin.com/company/advanced-industrial-ceramics,Engineering,West Coast,Fernando Delgado,advanced ceramics manufacturing,90,Specializes in custom ceramic manufacturing requiring precision tooling,,,,,Yes,Optimizing Your Tablet Production,"Hi, I see you're in advanced ceramics. I'd love to connect and discuss tablet production solutions!",Discussing tooling options for advanced ceramics,"Fette, Korsch","weight variation, capping, sticking",Scale-up,D
Elan Technology,Midway,GA,-5317,https://elantechnology.com,https://linkedin.com/company/elan-technology,Engineering,Southeast,Danny Ambrose,advanced ceramics manufacturing,90,Produces glass and ceramic materials requiring specialized presses,,,,,Yes,Enhancing Your Tablet Production Process,"Hi, I noticed your work in advanced ceramics. I'd love to connect and discuss tablet manufacturing solutions.",Discussing custom tooling solutions for advanced materials.,"Fette, Korsch","Weight variation, capping, sticking",R&D,Custom
Orion Industries,Auburn,WA,-8718,https://orionworks.org,https://linkedin.com/company/orion-industries,Engineering,West Coast,Fernando Delgado,advanced ceramics manufacturing,90,Offers manufacturing services including advanced ceramics,,,,,Yes,Enhancing Tablet Quality with Custom Tooling,"Hi, I noticed your work in advanced ceramics. I'd love to connect and discuss innovative solutions in tablet manufacturing.",Discussing custom tooling solutions for advanced materials.,Korsch,"Weight variation, capping, sticking",R&D,Custom
"Applied Ceramics, Inc.",Fremont,CA,-10458,https://appliedceramics.com,https://linkedin.com/company/applied-ceramics-inc,Engineering,West Coast,Fernando Delgado,advanced ceramics manufacturing,90,Produces custom ceramic materials for various industries,,,,,Yes,Enhancing Tablet Production Consistency,"Hi, I noticed your work in advanced ceramics. I'd love to connect and discuss innovations in tablet manufacturing.",Discussing advanced tooling options for improved consistency in tablet production.,"Fette, Korsch","weight variation, capping, sticking",Scale-up,D
Sandvik Materials Technology,Scranton,PA,-1922,https://home.sandvik,https://linkedin.com/company/sandvik,Engineering,Northeast,Raffaele Romano,powder metallurgy manufacturing,90,Produces advanced powders for industrial applications that can be pressed into tablets.,,,,,,Enhancing Your Tablet Production Efficiency,"Hi, I noticed your expertise in powder metallurgy. I'd love to connect and discuss tablet manufacturing solutions.",Discussing tooling solutions for optimizing powder flow and reducing defects.,"Fette, Korsch, IMA","weight variation, capping, sticking",Scale-up,D
Burgess-Norton Mfg. Co.,Geneva,IL,-4961,https://burgessnorton.com,https://linkedin.com/company/burgess-norton-manufacturing-company,Engineering,Central,David Nelson,powder metallurgy manufacturing,90,Produces powder metal products which can require tablet presses.,,,,,,Enhancing Tablet Consistency,"Hi, I see your expertise in powder metallurgy. I'd love to connect and discuss tablet manufacturing solutions.",Discussing tooling options for consistent weight control.,Fette,"weight variation, capping, sticking",Scale-up,D
"PMT, Inc.",Springboro,OH,-3979,https://pmt-inc.com,https://linkedin.com/company/pmt-inc.,Engineering,Central,David Nelson,powder metallurgy manufacturing,90,Specializes in powder metallurgy components that require pressing.,,,,,,Enhancing Tablet Consistency with Natoli,"Hi, I noticed your expertise in powder metallurgy. I'd love to connect and discuss tablet manufacturing solutions.",Discussing tooling solutions for consistent weight control,"Fette, Korsch","weight variation, capping, sticking",Scale-up,D
"Phoenix Sintered Metals, LLC",Brockway,PA,-5478,https://phoenixsintered.com,https://linkedin.com/company/phoenix-sintered-metals-llc,Engineering,Northeast,Raffaele Romano,powder metallurgy manufacturing,90,Manufactures powder metal parts using compaction techniques.,,,,,,Enhance Your Tablet Production Efficiency,"Hi, I noticed your expertise in powder metallurgy. I'd love to connect and discuss tablet production challenges and solutions.",Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch","weight variation, capping, sticking",Scale-up,D
"NetShape Technologies, Inc.",Solon,OH,-2097,https://netshapetech.com,https://linkedin.com/company/netshape-technologies-inc,Engineering,Central,David Nelson,powder metallurgy manufacturing,90,Produces high-precision powder metallurgy components.,,,,,,Enhancing Tablet Quality with Natoli,"Hi, I noticed your expertise in powder metallurgy. I'd love to connect and discuss tablet manufacturing solutions.",Discussing tooling solutions for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Scale-up,D
"Symmco, Inc.",Sykesville,PA,-4168,https://symmco.com,https://linkedin.com/company/symmco-inc,Engineering,Northeast,Raffaele Romano,powder metallurgy manufacturing,90,Specializes in powder metallurgy parts that require tablet pressing.,,,,,,Enhancing Your Tablet Production Efficiency,"Hi, I noticed your expertise in powder metallurgy. I'd love to connect and discuss tablet manufacturing solutions.",Discussing tooling solutions for consistent weight control.,"Fette, Korsch","weight variation, capping, sticking",Scale-up,D
MEMC Electronic Materials,St. Peters,MO,-6109,https://www.sunedisonsemi.com,https://linkedin.com/company/sunedison,Engineering,Central,David Nelson,semiconductor materials,90,Provides silicon wafers and materials that may require precise compaction tools.,,,,,,Enhancing Your Tablet Production Process,"Hi, I noticed your work in semiconductor materials. I'd love to connect and discuss tablet production insights.",Discussing tooling options for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",R&D,D
Cabot Microelectronics,Aurora,IL,-7635,https://www.cabotcmp.com,https://linkedin.com/company/cabot-microelectronics,Scientific,Central,David Nelson,semiconductor materials,90,"Engaged in research and development of materials, potentially requiring formulation services.",,,,,,Enhancing Your Tablet Production Process,"Hi, I noticed your work in semiconductor materials. I'd love to connect and discuss potential synergies in tablet manufacturing.",Discussing custom tooling solutions for unique formulations.,"Fette, Korsch","Weight variation, capping, sticking",R&D,Custom
Hemlock Semiconductor,Hemlock,MI,-2634,https://www.hscpoly.com,https://linkedin.com/company/hemlock-semiconductor,Engineering,Central,David Nelson,semiconductor materials,90,"Produces materials for the semiconductor industry, which could involve tablet compaction.",,,,,,Optimizing Tablet Consistency,"Hi, I noticed your work at Hemlock Semiconductor. I'd love to connect and discuss tablet manufacturing solutions.",Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch","weight variation, capping, sticking",R&D,D
ON Semiconductor,Phoenix,AZ,-7445,https://www.onsemi.com,https://linkedin.com/company/onsemiconductor,Both,Rocky Mountain,Eric Maughan,semiconductor materials,100,Their semiconductor solutions could involve tablet press and formulation technologies.,,,,,,Enhancing Your Tablet Production Efficiency,"Hi, I noticed your work in semiconductor materials. I'd love to connect and discuss tablet production solutions that could benefit your R&D efforts.",Discussing custom tooling solutions for unique formulations.,Fette,"Weight variation, capping",R&D,Custom
IQE Plc,Bethlehem,PA,-3641,https://www.iqep.com,https://linkedin.com/company/iqe,Scientific,Northeast,Raffaele Romano,semiconductor materials,90,"Engages in materials research, potentially benefiting from Natoli's formulation services.",,,,,,Enhancing Your Tablet Production Efficiency,"Hi, I noticed IQE's innovative work in semiconductor materials. I'd love to connect and discuss tablet manufacturing solutions.",Discussing custom tooling solutions for unique formulations.,"Korsch, Fette","Weight variation, capping, sticking",R&D,Custom
"MaxLinear, Inc.",Carlsbad,CA,-2162,https://www.maxlinear.com,https://linkedin.com/company/maxlinear,Engineering,West Coast,Fernando Delgado,semiconductor materials,90,Develops broadband communications semiconductors which might need tablet pressing.,,,,,,Enhancing Your Tablet Production Process,"Hi, I noticed MaxLinear's innovative work in semiconductors. I'd love to connect and discuss tablet production solutions.",Discussing custom tooling solutions for unique formulations.,"Fette, Korsch","Weight variation, capping, sticking",R&D,Custom
Cirrus Logic,Austin,TX,-5362,https://www.cirrus.com,https://linkedin.com/company/cirrus-logic,Engineering,Central,David Nelson,semiconductor materials,90,"Designs audio and voice ICs, potentially using tablet press technology for production.",,,,,,Enhancing Your Tablet Production Process,"Hi, I noticed your work in semiconductor materials. I'd love to connect and discuss tablet manufacturing solutions that could benefit your R&D efforts.",Discussing custom tooling solutions for unique formulations.,"Fette, Korsch","weight variation, capping, sticking",R&D,Custom
Remington Ammunition,Lonoke,AR,-4337,https://remington.com,https://linkedin.com/company/remington-ammunition,Engineering,Central,David Nelson,ammunition manufacturing,90,Produces a wide range of ammunition that requires advanced engineering solutions,,,,,,Enhancing Your Tablet Production Efficiency,"Hi, I noticed your expertise in manufacturing. I'd love to connect and discuss innovations in tablet production.",Discussing custom tooling solutions for unique formulations.,Fette,"Weight variation, capping, sticking",Commercial,Custom
