Company,Website,Phone,City,State,Confidence,Natoli_Angle,Press_OEM,Probable_Defects,Production_Stage,Tooling_Class
"Ceramic Components & Technology, Inc.",http://www.ceramiccomponents.com,440-243-9000,Cleveland,OH,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
"Thermal Ceramics, Inc.",https://www.thermalceramics.com,706-798-4000,Augusta,GA,High,Discussing tooling options for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
McDanel Advanced Ceramic Technologies,https://www.mcdanel.com,724-654-8400,New Castle,PA,Medium,Discussing tooling solutions for scale-up efficiency.,"Fette, Korsch","weight variation, capping, sticking",Scale-up,D
"LSP Industrial Ceramics, Inc.",http://www.lspceramics.com,800-325-1000,Wilmington,DE,Medium,Discussing tooling options for optimizing tablet quality.,"Fette, Korsch, IMA","capping, weight variation, sticking",Commercial,D
GKN Powder Metallurgy,https://www.gknpm.com,888-462-6464,Hoffman Estates,IL,High,Discussing tooling solutions for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Metco Division of Oerlikon,https://www.oerlikon.com/metco,800-626-1285,Westbury,NY,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Rio Tinto Metal Powders,https://www.riotinto.com,800-974-1200,Sandy,UT,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Sandvik Additive Manufacturing,https://www.home.sandvik/en/products/additive-manufacturing/,800-732-1697,Schaumburg,IL,High,Discussing tooling options for scale-up efficiency,"Fette, Korsch","weight variation, capping, sticking",Scale-up,D
Carpenter Additive,https://www.carpenteradditive.com,800-654-6543,Philadelphia,PA,Medium,Discussing tooling optimization for scale-up processes.,"Fette, Korsch, IMA","weight variation, capping, sticking",Scale-up,D
Höganäs AB,https://www.hoganas.com,888-464-6262,Höganäs,SE,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
"Royal Metal Powders, Inc.",http://www.royalmetalpowders.com,800-325-2500,Huntington Beach,CA,Medium,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
"US Metal Powders, Inc.",http://www.usmetalpowders.com,800-325-2500,Huntington Beach,CA,Medium,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
North American Höganäs,https://www.nahoganas.com,800-325-2500,Huntington Beach,CA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Makin Metal Powders,http://www.makinmetalpowders.com,800-555-1212,Bristol,PA,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
LPW Technology Inc.,https://www.lpwtechnology.com,412-206-2020,Pittsburgh,PA,Medium,Discussing tooling optimization for consistent tablet quality,"Fette, Korsch, IMA","Weight variation, capping, sticking",Scale-up,D
"Sumitomo Electric Carbide, Inc.",https://www.sumitomoelectric.com,800-323-2020,Schaumburg,IL,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Tekna Advanced Materials Inc.,https://www.tekna.com,514-336-7200,Sherbrooke,QC,Medium,Discussing tooling optimization for scale-up processes.,"Fette, Korsch","weight variation, capping, sticking",Scale-up,D
Arnold Magnetic Technologies,https://www.arnoldmagnetics.com,585-266-0010,Rochester,NY,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Quadrant Magnetics,https://www.quadrantmagnetics.com,800-555-1234,Wichita,KS,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
"Molycorp, Inc.",http://www.molycorp.com,303-623-2000,Greenwood Village,CO,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Bunting Magnetics Co.,http://www.buntingmagnetics.com,800-368-2490,Newton,KS,High,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
"Dura Magnetics, Inc.",http://www.duramagnetics.com,800-888-2020,Harrison,MI,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
"Magnet Sales & Manufacturing, Inc.",http://www.magnetsales.com,800-525-2000,Harrison,MI,Medium,Discussing tooling options for improved tablet consistency.,"Fette, Korsch","capping, weight variation, sticking",Commercial,D
Integrated Magnetics,http://www.integratedmagnetics.com,800-456-9200,San Jose,CA,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Apex Magnets,https://www.apexmagnets.com,888-727-3320,Apex,NC,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
"Thomas & Skinner, Inc.",http://www.thomasandskinner.com,317-639-5500,Indianapolis,IN,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
"Applied Materials, Inc.",https://www.appliedmaterials.com,408-727-5555,Santa Clara,CA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Broadcom Inc.,https://www.broadcom.com,408-433-1800,San Jose,CA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Texas Instruments Incorporated,https://www.ti.com,214-479-2000,Dallas,TX,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
"Micron Technology, Inc.",https://www.micron.com,208-368-4000,Boise,ID,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Qualcomm Incorporated,https://www.qualcomm.com,858-587-1121,San Diego,CA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
"Analog Devices, Inc.",https://www.analog.com,781-329-4700,Norwood,MA,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
"Cree, Inc.",https://www.cree.com,919-313-5300,Durham,NC,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
"Amkor Technology, Inc.",https://www.amkor.com,480-821-5000,Chandler,AZ,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
GlobalFoundries Inc.,https://www.globalfoundries.com,518-305-8000,Malta,NY,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
"Qorvo, Inc.",https://www.qorvo.com,336-678-7000,Greensboro,NC,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Marvell Technology Group Ltd.,https://www.marvell.com,408-222-2500,Santa Clara,CA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
"Teradyne, Inc.",https://www.teradyne.com,978-370-5000,North Reading,MA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Orbital ATK,https://www.orbitalatk.com,703-406-5000,Dulles,VA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Aerojet Rocketdyne,https://www.rocket.com,800-262-6530,El Segundo,CA,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Chemring Energetics,https://www.chemring.co.uk,703-263-2000,Dulles,VA,Medium,Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
Dyno Nobel,https://www.dynonobel.com,800-733-2440,Salt Lake City,UT,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Pacific Scientific Energetic Materials Company,https://www.pacificscientific.com,760-931-1000,Carlsbad,CA,Medium,Discussing tooling options for consistent weight control,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Ensign-Bickford Aerospace & Defense Company,https://www.ebad.com,860-528-4000,Simsbury,CT,Medium,Discussing advanced tooling solutions for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Austin Powder Company,https://www.austinpowder.com,440-232-1000,Cleveland,OH,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Hodgdon Powder Company,https://www.hodgdon.com,913-362-9455,Shawnee,KS,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
St. Marks Powder,https://www.stmarkspowder.com,850-925-1000,St. Marks,FL,Medium,Discussing tooling options for optimizing tablet consistency and reducing defects.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
American Ordnance,https://www.americanordnance.com,315-336-2000,Lima,NY,High,Discussing tooling options for consistent weight control.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Estes Industries,https://www.estesrockets.com,800-525-7561,Penrose,CO,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Nammo Talley,https://www.nammo.com,435-586-3000,Murray,UT,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
"El Dorado Engineering, Inc.",http://www.eldoradoengineering.com,505-345-0000,Albuquerque,NM,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Vista Outdoor Inc.,https://www.vistaoutdoor.com,801-876-2711,Anoka,MN,High,Discussing tooling solutions for consistent weight control.,Fette,"weight variation, capping, sticking",Commercial,D
"Remington Arms Company, LLC",https://www.remington.com,800-243-9700,Madison,NC,High,Discussing tooling solutions for consistent tablet weight and quality.,Fette,"weight variation, capping, sticking",Commercial,D
Hornady Manufacturing Company,https://www.hornady.com,800-338-3220,Grand Island,NE,High,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Federal Premium Ammunition,https://www.federalpremium.com,800-322-2342,Anoka,MN,High,Discussing tooling solutions for consistent tablet weight and quality.,Fette,"weight variation, capping, sticking",Commercial,D
"Barnes Bullets, LLC",https://www.barnesbullets.com,800-574-9200,Lewiston,ID,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
"Nosler, Inc.",https://www.nosler.com,800-285-3701,Bend,OR,High,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Liberty Ammunition,https://www.libertyammunition.com,844-422-4867,DeLand,FL,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Norma Precision Inc.,https://www.norma-usa.com,800-417-2007,Amelia,OH,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Winchester Ammunition,https://www.winchester.com,800-333-3288,East Alton,IL,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Black Hills Ammunition,https://www.black-hills.com,605-348-5150,Rapid City,SD,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Speer Ammunition,https://www.speer-ammo.com,800-379-1732,Lewiston,ID,High,Discussing tooling options for consistent weight control.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
CCI Ammunition,https://www.cci-ammunition.com,800-627-3640,Lewiston,ID,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
PMC Ammunition,https://www.pmcammo.com,800-757-7572,Bainbridge,GA,Medium,Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
Fiocchi of America,https://www.fiocchiusa.com,800-264-2493,Ozark,MO,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
"Sellier & Bellot, Inc.",https://www.sellier-bellot.com,800-338-3220,Kansas City,MO,Medium,Discussing tooling options for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,B
Underwood Ammo,https://www.underwoodammo.com,866-259-8847,Granbury,TX,Medium,Discussing tooling options for consistent weight control.,Fette,"weight variation, capping, sticking",Commercial,D
Magtech Ammunition,https://www.magtechammunition.com,800-387-4040,Lake City,FL,Medium,Discussing tooling options for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Berger Bullets,https://www.bergerbullets.com,800-223-9797,Mesa,AZ,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Norton Abrasives,https://www.nortonabrasives.com,800-551-4410,Worcester,MA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Carborundum Universal Limited,https://www.cumi-murugappa.com,91-44-2225-2000,Chennai,TN,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Washington Mills,https://www.washingtonmills.com,800-828-1666,North Grafton,MA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Weiler Abrasives,https://www.weilerabrasives.com,800-835-9999,Cresco,PA,High,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
"Flexovit USA, Inc.",https://www.flexovit.com,800-221-0270,Wilmington,DE,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
"Klingspor Abrasives, Inc.",https://www.klingspor.com,800-645-5555,Hickory,NC,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Camel Grinding Wheels,http://www.camelgrindingwheels.com,800-645-5555,Burlington,NJ,Medium,Discussing tooling options for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
"Radiac Abrasives, A TYROLIT Company",https://www.radiacabrasives.com,800-323-0740,Hammond,IN,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Sungold Abrasives,https://www.sungoldabrasives.com,800-234-1976,Cedar Rapids,IA,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
SIA Abrasives,https://www.siaabrasives.com,800-888-7427,Schaumburg,IL,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Pearl Abrasive Co.,https://www.pearlabrasive.com,800-726-2021,Los Angeles,CA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
"ARC Abrasives, Inc.",https://www.arcabrasives.com,800-334-1905,Cleveland,OH,Medium,Discussing tooling options for optimizing tablet consistency and reducing defects.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Merit Abrasives,https://www.meritabrasives.com,800-225-7370,Hoffman Estates,IL,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
"Grier Abrasive Co., Inc.",https://www.grierabrasive.com,800-334-7477,Greenville,SC,Low,Discussing tooling options for improved tablet consistency.,"Fette, Korsch","capping, sticking, weight variation",Commercial,D
Hermes Abrasives Ltd,https://www.hermes-abrasives.com,800-645-5272,Wilmington,DE,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,B
Rex-Cut Abrasives,https://www.rexcut.com,800-234-7288,Fall River,MA,Medium,Discussing tooling solutions for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Estée Lauder Companies Inc.,https://www.elcompanies.com,212-572-4200,New York,NY,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
"Revlon, Inc.",https://www.revlon.com,212-527-4000,New York,NY,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Coty Inc.,https://www.coty.com,212-389-7300,New York,NY,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Mary Kay Inc.,https://www.marykay.com,972-687-6300,Addison,TX,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Urban Decay Cosmetics,https://www.urbandecay.com,800-784-8722,Los Angeles,CA,High,Discussing tooling options for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
