Company,City,State,Phone,Website,LinkedIn,Natoli Fit,Territory,Sales Rep,Industry,Confidence,Reason,503A,503B,GMP Likely,FDA Likely,Industry Match,AI Decision,AI Compression,AI Division,AI Confidence,Pressure Signals,Competitors,AI Summary
Vetoquinol USA,Fort Worth,TX,-6773,https://www.vetoquinolusa.com,https://linkedin.com/company/vetoquinol,Both,Central,David Nelson,veterinary tablet manufacturing,100,Produces veterinary medicines including tablets,,,,,Yes,ENGAGE,medium,Both,80,high pressure during compression; inconsistent tablet weight,Fette; Korsch,Vetoquinol USA has medium compression opportunities in veterinary tablet manufacturing that could enhance product consistency and quality.
"Merial, Inc.",Duluth,GA,-5775,https://www.merial.com,https://linkedin.com/company/merial,Both,Southeast,Danny Ambrose,veterinary tablet manufacturing,100,Specializes in animal health products including tablets,,,,,Yes,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,"Merial, Inc. has a medium opportunity for improving tablet compression processes in veterinary tablet manufacturing."
MWI Animal Health,Boise,ID,-3873,https://www.mwiah.com,https://linkedin.com/company/mwi-animal-health,Both,Rocky Mountain,Eric Maughan,veterinary tablet manufacturing,100,Distributor with private label veterinary products including tablets,,,,,Yes,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression in veterinary tablet manufacturing with potential risks to monitor.
Zoobiotic Laboratories,Tampa,FL,-1566,https://www.zoobioticlabs.com,https://linkedin.com/company/zoobiotic-labs,Both,Southeast,Danny Ambrose,veterinary tablet manufacturing,100,Manufactures veterinary tablets and dosage forms,,,,,Yes,ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,Zoobiotic Laboratories has a medium opportunity for improving tablet compression processes in veterinary tablet manufacturing.
Vanguard Vet,Houston,TX,-1390,https://www.vanguardvet.com,https://linkedin.com/company/vanguard-vet,Both,Central,David Nelson,veterinary tablet manufacturing,100,Produces veterinary tablets and related products,,,,,Yes,ENGAGE,medium,Both,80,low pressure; high pressure,Fette; Korsch,Vanguard Vet has a medium opportunity for improving tablet compression processes to enhance product quality and consistency.
Vireo Health,Minneapolis,MN,-8693,https://vireohealth.com,https://linkedin.com/company/vireo-health,Both,Central,David Nelson,cannabis tablet manufacturing,100,Develops and manufactures cannabis-based tablets,,,,,Yes,ENGAGE,medium,Both,80,low pressure; high pressure,Fette; Korsch,Vireo Health has a medium opportunity for optimizing tablet compression in cannabis tablet manufacturing.
Green Thumb Industries,Chicago,IL,-7502,https://gtigrows.com,https://linkedin.com/company/green-thumb-industries-inc-,Both,Central,David Nelson,cannabis tablet manufacturing,100,Engages in manufacturing of cannabis tablets,,,,,Yes,ENGAGE,medium,Both,80,low pressure; high pressure,Fette; Korsch,Green Thumb Industries has a medium opportunity for optimizing tablet compression in cannabis tablet manufacturing.
Acreage Holdings,New York,NY,-10426,https://acreageholdings.com,https://linkedin.com/company/acreageholdings,Both,Northeast,Raffaele Romano,cannabis tablet manufacturing,100,Produces cannabis tablets and develops formulations,,,,,Yes,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,Acreage Holdings has a medium opportunity for improving tablet compression in cannabis tablet manufacturing.
TerrAscend,New York,NY,-8986,https://terrascend.com,https://linkedin.com/company/terrascend,Both,Northeast,Raffaele Romano,cannabis tablet manufacturing,100,Involved in cannabis tablet production and R&D,,,,,Yes,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,TerrAscend has a medium opportunity for improving tablet compression in cannabis tablet production.
Jushi Holdings,Boca Raton,FL,-6038,https://jushico.com,https://linkedin.com/company/jushi-holdings-inc-,Both,Southeast,Danny Ambrose,cannabis tablet manufacturing,100,Manufactures cannabis tablets and offers formulation services,,,,,Yes,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,Jushi Holdings has a medium opportunity for improving tablet compression processes in cannabis tablet manufacturing.
iAnthus Capital,New York,NY,-10581,https://ianthus.com,https://linkedin.com/company/ianthus,Both,Northeast,Raffaele Romano,cannabis tablet manufacturing,100,Produces cannabis tablets as part of their product line,,,,,Yes,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,iAnthus Capital has a medium opportunity for improving tablet compression in cannabis tablet manufacturing.
Liberty Health Sciences,Gainesville,FL,-5963,https://libertyhealthsciences.com,https://linkedin.com/company/liberty-health-sciences,Both,Southeast,Danny Ambrose,cannabis tablet manufacturing,100,Engages in the production of cannabis tablets,,,,,Yes,ENGAGE,medium,Both,80,low pressure; high pressure,Fette; Korsch,Liberty Health Sciences has a medium opportunity for improving tablet compression processes in cannabis tablet manufacturing.
The Valens Company,Keene,CA,-4538,https://thevalenscompany.com,https://linkedin.com/company/thevalenscompany,Both,West Coast,Fernando Delgado,cannabis tablet manufacturing,100,Offers cannabis tablet manufacturing services,,,,,Yes,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,The Valens Company has a medium opportunity for tablet compression improvements in cannabis tablet manufacturing.
4Front Ventures,Phoenix,AZ,-4301,https://4frontventures.com,https://linkedin.com/company/4front-ventures,Both,Rocky Mountain,Eric Maughan,cannabis tablet manufacturing,100,Involved in the manufacturing of cannabis tablets,,,,,Yes,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,4Front Ventures has a medium opportunity for improving tablet compression in cannabis tablet manufacturing.
Ayr Wellness,Miami,FL,-1705,https://ayrwellness.com,https://linkedin.com/company/ayr-wellness,Both,Southeast,Danny Ambrose,cannabis tablet manufacturing,100,Develops and manufactures cannabis tablets,,,,,Yes,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,Ayr Wellness has a medium opportunity for improving tablet compression in cannabis tablet manufacturing.
Verano Holdings,Chicago,IL,-1306,https://verano.com,https://linkedin.com/company/verano-holdings,Both,Central,David Nelson,cannabis tablet manufacturing,100,Engages in the production of cannabis tablets,,,,,Yes,ENGAGE,medium,Both,80,low pressure; high pressure,Fette; Korsch,Verano Holdings has a medium opportunity for optimizing tablet compression in cannabis tablet manufacturing.
TILT Holdings,Phoenix,AZ,-6409,https://tiltholdings.com,https://linkedin.com/company/tilt-holdings,Both,Rocky Mountain,Eric Maughan,cannabis tablet manufacturing,100,Produces cannabis tablets and provides formulation services,,,,,Yes,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,TILT Holdings has a medium opportunity for improving tablet compression processes in cannabis tablet manufacturing.
Sila Nanotechnologies,Alameda,CA,-2734,https://silatech.com,https://linkedin.com/company/sila-nanotechnologies,Scientific,West Coast,Fernando Delgado,battery cathode manufacturing,90,"Innovates in battery materials, potentially needing formulation services",,,,,Yes,EDUCATE,none,Both,75,,,Sila Nanotechnologies presents an opportunity for collaboration in battery materials formulation services.
Amprius Technologies,Fremont,CA,-10027,https://amprius.com,https://linkedin.com/company/amprius-inc,Both,West Coast,Fernando Delgado,battery cathode manufacturing,100,Manufactures advanced batteries which may require high-precision tooling,,,,,Yes,DEPRIORITIZE,none,None,70,,,No immediate tablet compression opportunities identified in battery cathode manufacturing.
"Solid Power, Inc.",Louisville,CO,-1241,https://solidpowerbattery.com,https://linkedin.com/company/solid-power-inc,Both,Rocky Mountain,Eric Maughan,battery cathode manufacturing,100,"Involved in solid-state battery manufacturing, needing formulation and press solutions",,,,,Yes,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,"Solid Power, Inc. presents a medium opportunity for tablet compression solutions in solid-state battery manufacturing."
American Battery Technology Company,Reno,NV,-5991,https://americanbatterytechnology.com,https://linkedin.com/company/american-battery-technology-company,Scientific,Rocky Mountain,Eric Maughan,battery cathode manufacturing,90,"Focuses on battery recycling and materials, needing formulation expertise",,,,,Yes,EDUCATE,none,Scientific,75,,,Opportunity to provide formulation expertise for battery cathode manufacturing.
24M Technologies,Cambridge,MA,-7045,https://24-m.com,https://linkedin.com/company/24m,Both,Northeast,Raffaele Romano,battery cathode manufacturing,100,"Produces next-gen batteries using semi-solid technology, needing formulation and press solutions",,,,,Yes,EDUCATE,none,None,70,,,There is an opportunity to educate 24M Technologies on tablet compression solutions for their semi-solid battery manufacturing process.
Group14 Technologies,Woodinville,WA,-2621,https://group14.technology,https://linkedin.com/company/group14-technologies,Scientific,West Coast,Fernando Delgado,battery cathode manufacturing,90,Specializes in silicon-carbon composite materials for lithium-ion batteries,,,,,Yes,DEPRIORITIZE,none,None,70,,,No immediate tablet compression opportunities identified in battery cathode manufacturing.
Wildcat Discovery Technologies,San Diego,CA,-3387,https://wildcatdiscovery.com,https://linkedin.com/company/wildcat-discovery-technologies,Scientific,West Coast,Fernando Delgado,battery cathode manufacturing,90,Focuses on battery material discovery and development,,,,,Yes,DEPRIORITIZE,none,None,70,,,No immediate tablet compression opportunities identified in battery cathode manufacturing.
Forge Nano,Thornton,CO,-9557,https://forgenano.com,https://linkedin.com/company/forge-nano,Both,Rocky Mountain,Eric Maughan,battery cathode manufacturing,100,"Develops materials for battery improvements, requiring both engineering and scientific solutions",,,,,Yes,ENGAGE,medium,Both,80,material consistency; process optimization; cost efficiency,Fette; Korsch,There is a medium opportunity for tablet compression in battery cathode manufacturing with a focus on engineering and scientific solutions.
Silatronix,Madison,WI,-6369,https://silatronix.com,https://linkedin.com/company/silatronix-inc,Scientific,Central,David Nelson,battery cathode manufacturing,90,Focuses on advanced electrolyte materials for lithium-ion batteries,,,,,Yes,DEPRIORITIZE,none,None,70,,,No relevant tablet compression opportunities identified in battery cathode manufacturing.
LeydenJar Technologies,Eindhoven,MI,-8468,https://leydenjar.com,https://linkedin.com/company/leydenjar-technologies,Scientific,Central,David Nelson,battery cathode manufacturing,90,Develops pure silicon anodes for lithium-ion batteries,,,,,Yes,DEPRIORITIZE,none,None,70,,,No immediate tablet compression opportunities identified in battery cathode manufacturing.
Romeo Power,Vernon,CA,-3878,https://romeopower.com,https://linkedin.com/company/romeo-power,Both,West Coast,Fernando Delgado,battery cathode manufacturing,100,Designs and manufactures battery modules and packs,,,,,Yes,DEPRIORITIZE,none,None,70,,,No immediate tablet compression opportunities identified in battery cathode manufacturing.
Microvast,Stafford,TX,-10276,https://microvast.com,https://linkedin.com/company/microvast,Both,Central,David Nelson,battery cathode manufacturing,100,Develops and manufactures battery systems,,,,,Yes,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified in battery cathode manufacturing.
Eos Energy Enterprises,Edison,NJ,-9356,https://eose.com,https://linkedin.com/company/eos-energy-storage,Both,Northeast,Raffaele Romano,battery cathode manufacturing,100,Specializes in zinc-based energy storage solutions,,,,,Yes,DEPRIORITIZE,none,None,70,,,No immediate tablet compression opportunities identified in battery cathode manufacturing for zinc-based energy storage solutions.
Sila Nanotechnologies,Alameda,CA,-8504,https://www.silanano.com,https://linkedin.com/company/sila-nanotechnologies,Scientific,West Coast,Fernando Delgado,battery electrode manufacturing,90,Develops advanced battery materials that could benefit from tablet pressing technology,,,,,Yes,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,Sila Nanotechnologies presents a medium opportunity for tablet pressing technology in battery electrode manufacturing.
American Battery Solutions,Lake Orion,MI,-5226,https://www.americanbatterysolutions.com,https://linkedin.com/company/american-battery-solutions,Engineering,Central,David Nelson,battery electrode manufacturing,90,Manufactures battery systems that may require tablet pressing technologies,,,,,Yes,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression technologies in battery electrode manufacturing at American Battery Solutions.
"Farasis Energy, Inc.",Hayward,CA,-7841,https://www.farasis.com,https://linkedin.com/company/farasis-energy-inc-,Both,West Coast,Fernando Delgado,battery electrode manufacturing,100,"Develops advanced lithium-ion batteries, potentially requiring tablet press technology",,,,,Yes,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,Farasis Energy presents a medium opportunity for tablet press technology in their advanced lithium-ion battery manufacturing.
Piedmont Lithium,Belmont,NC,-9164,https://piedmontlithium.com,https://linkedin.com/company/piedmont-lithium,Scientific,Southeast,Danny Ambrose,lithium ion battery materials,90,"Explores and develops lithium resources, could need formulation support",,,,,Yes,ENGAGE,medium,Both,80,increased demand for lithium-ion batteries; supply chain fluctuations; regulatory pressures,Fette; Korsch,Piedmont Lithium presents a medium opportunity for tablet compression support in lithium-ion battery materials due to growing market demand.
Lithium Americas Corp.,Reno,NV,-7253,https://lithiumamericas.com,https://linkedin.com/company/lithiumamericas,Scientific,Rocky Mountain,Eric Maughan,lithium ion battery materials,90,"Develops lithium projects, might require formulation expertise",,,,,Yes,EDUCATE,none,None,70,,,There is an opportunity to educate on formulation expertise for lithium ion battery materials.
Novonix,Chattanooga,TN,-1389,https://novonixgroup.com,https://linkedin.com/company/novonix,Scientific,Southeast,Danny Ambrose,lithium ion battery materials,90,"Produces synthetic graphite for batteries, might need formulation expertise",,,,,Yes,EDUCATE,none,Both,70,,,Novonix may benefit from formulation expertise in the production of synthetic graphite for lithium-ion batteries.
Ascend Elements,Westborough,MA,-2790,https://ascendelements.com,https://linkedin.com/company/ascend-elements,Scientific,Northeast,Raffaele Romano,lithium ion battery materials,90,"Focuses on battery recycling and sustainable materials, may need formulation support",,,,,Yes,EDUCATE,none,None,70,,,Ascend Elements may benefit from formulation support but does not present immediate tablet compression opportunities.
24M Technologies,Cambridge,MA,-10034,https://24m.com,https://linkedin.com/company/24m-technologies,Scientific,Northeast,Raffaele Romano,lithium ion battery materials,90,"Develops semi-solid lithium-ion battery technology, could require formulation expertise",,,,,Yes,EDUCATE,medium,Both,75,formulation consistency; material handling; compression speed,Fette; Korsch,"There is a medium opportunity to engage with 24M Technologies on tablet compression for their semi-solid lithium-ion battery materials, focusing on formulation expertise."
Sionic Energy,Austin,TX,-10357,https://sionic.energy,https://linkedin.com/company/sionic-energy,Scientific,Central,David Nelson,sodium ion battery manufacturing,90,Engaged in the development of next-gen battery technologies.,,,,,Yes,DEPRIORITIZE,none,None,70,,,No immediate tablet compression opportunities identified in sodium ion battery manufacturing.
KORE Power,Coeur d'Alene,ID,-10357,https://korepower.com,https://linkedin.com/company/kore-power,Engineering,Rocky Mountain,Eric Maughan,sodium ion battery manufacturing,90,Manufactures high-capacity batteries requiring pressing technology.,,,,,Yes,ENGAGE,high,Engineering,85,high pressure required for battery density; consistent pressure application; pressure variations during production,Fette; Korsch,High-capacity sodium ion battery manufacturing presents significant tablet compression opportunities to enhance production efficiency.
Our Next Energy,Novi,MI,-3955,https://one.ai,https://linkedin.com/company/our-next-energy,Both,Central,David Nelson,sodium ion battery manufacturing,100,Develops innovative battery solutions with potential need for Natoli's dual expertise.,,,,,Yes,EDUCATE,none,Both,70,,,"There is potential for collaboration with Our Next Energy in battery manufacturing, but no immediate tablet compression opportunities identified."
Form Energy,Somerville,MA,-6085,https://formenergy.com,https://linkedin.com/company/form-energy,Scientific,Northeast,Raffaele Romano,sodium ion battery manufacturing,90,Focuses on developing long-duration energy storage systems.,,,,,Yes,DEPRIORITIZE,none,None,70,,,No immediate tablet compression opportunities identified in sodium ion battery manufacturing.
Natron Energy,Santa Clara,CA,-6895,https://natron.energy,https://linkedin.com/company/natron-energy,Both,West Coast,Fernando Delgado,sodium ion battery manufacturing,100,Produces sodium-ion batteries with potential needs for tablet pressing.,,,,,Yes,EDUCATE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,"There is a medium opportunity for tablet compression in sodium-ion battery manufacturing, requiring education on best practices."
ZincFive,Tualatin,OR,-4418,https://zincfive.com,https://linkedin.com/company/zincfive,Engineering,West Coast,Fernando Delgado,sodium ion battery manufacturing,90,"Manufactures nickel-zinc batteries, requiring engineering solutions.",,,,,Yes,DEPRIORITIZE,none,Engineering,70,,,No immediate tablet compression opportunities identified in the context of sodium ion battery manufacturing.
Blue Solutions,Boston,MA,-9455,https://blue-solutions.com,https://linkedin.com/company/blue-solutions,Engineering,Northeast,Raffaele Romano,sodium ion battery manufacturing,90,Develops and produces solid-state batteries that may benefit from pressing technology.,,,,,Yes,ENGAGE,medium,Engineering,85,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression technology in solid-state battery manufacturing at Blue Solutions.
Factorial Energy,Woburn,MA,,https://factorialenergy.com,https://linkedin.com/company/factorial-energy,Engineering,Northeast,Raffaele Romano,solid state battery manufacturing,80,Focuses on solid-state battery technology requiring engineering solutions,,,,,Yes,EDUCATE,none,Engineering,75,,,There are no immediate tablet compression opportunities in solid-state battery manufacturing for Factorial Energy.
BrightVolt,Newark,CA,-10320,https://brightvolt.com,https://linkedin.com/company/brightvolt,Engineering,West Coast,Fernando Delgado,solid state battery manufacturing,90,Specializes in solid-state lithium-polymer batteries needing precision tooling,,,,,Yes,DEPRIORITIZE,none,None,70,,,No tablet compression opportunities identified in solid-state battery manufacturing.
ProLogium Technology,Fremont,CA,,https://prologium.com,https://linkedin.com/company/prologium-technology-co-ltd,Engineering,West Coast,Fernando Delgado,solid state battery manufacturing,80,"Develops solid-state batteries, requiring high-precision manufacturing tools",,,,,Yes,DEPRIORITIZE,none,None,70,,,Solid-state battery manufacturing does not present tablet compression opportunities.
Sakti3,Ann Arbor,MI,,https://sakti3.com,https://linkedin.com/company/sakti3,Engineering,Central,David Nelson,solid state battery manufacturing,80,"Engaged in developing solid-state batteries, requiring precision manufacturing",,,,,Yes,DEPRIORITIZE,none,None,70,,,No immediate tablet compression opportunities identified in solid-state battery manufacturing.
StoreDot,San Francisco,CA,-10685,https://store-dot.com,https://linkedin.com/company/storedot,Engineering,West Coast,Fernando Delgado,solid state battery manufacturing,90,"Develops fast-charging battery technology, needing advanced engineering tools",,,,,Yes,DEPRIORITIZE,none,None,70,,,No immediate tablet compression opportunities identified in solid state battery manufacturing.
Ionblox,Fremont,CA,,https://ionblox.com,https://linkedin.com/company/ionblox,Engineering,West Coast,Fernando Delgado,solid state battery manufacturing,80,"Produces high-performance lithium batteries, requiring advanced manufacturing solutions",,,,,Yes,MONITOR,none,None,70,,,Ionblox's focus on solid state battery manufacturing does not present immediate tablet compression opportunities.
SilLion Inc.,Louisville,CO,,https://sillioninc.com,,Engineering,Rocky Mountain,Eric Maughan,solid state battery manufacturing,75,Develops solid-state battery technology requiring high-precision equipment,,,,,Yes,DEPRIORITIZE,none,None,70,,,No immediate tablet compression opportunities identified in solid-state battery manufacturing.
Forever Energy,Columbia,MD,,https://foreverenergy.com,https://linkedin.com/company/forever-energy,Engineering,Northeast,Raffaele Romano,solid state battery manufacturing,80,Focuses on solid-state battery solutions needing advanced engineering tools,,,,,Yes,EDUCATE,none,Engineering,75,,,There are no immediate tablet compression opportunities in solid-state battery manufacturing for Forever Energy.
Cuberg,San Leandro,CA,-3950,https://cuberg.net,https://linkedin.com/company/cuberg,Engineering,West Coast,Fernando Delgado,solid state battery manufacturing,90,"Develops lithium metal batteries, which require precision manufacturing solutions",,,,,Yes,MONITOR,none,None,70,,,Cuberg's focus on solid state battery manufacturing does not present immediate tablet compression opportunities.
Framatome Inc.,Lynchburg,VA,-3265,https://framatome.com,https://linkedin.com/company/framatome,Both,Northeast,Raffaele Romano,nuclear fuel pellet manufacturing,100,"Involved in nuclear fuel manufacturing and R&D, which may require advanced pressing technology.",,,,,Yes,ENGAGE,high,Both,85,high pressure required for dense pellet formation; pressure consistency monitoring,Fette; Korsch,Framatome Inc. presents a high opportunity for advanced tablet compression technology in nuclear fuel pellet manufacturing.
"Global Nuclear Fuel - Americas, LLC",Wilmington,NC,-6584,https://gnf.com,https://linkedin.com/company/global-nuclear-fuel,Engineering,Southeast,Danny Ambrose,nuclear fuel pellet manufacturing,90,"Produces nuclear fuel assemblies, which likely includes pellet pressing processes.",,,,,Yes,ENGAGE,high,Both,85,high pressure; medium pressure; low pressure,Fette; Korsch,There is a significant opportunity to enhance tablet compression processes in nuclear fuel pellet manufacturing.
"BWX Technologies, Inc.",Lynchburg,VA,-6955,https://bwxt.com,https://linkedin.com/company/bwx-technologies,Both,Northeast,Raffaele Romano,nuclear fuel pellet manufacturing,100,"Provides nuclear components and fuel, necessitating precision pressing equipment.",,,,,Yes,ENGAGE,high,Engineering,85,high pressure required for precision; risk of over-compression; need for consistent pressure application,Fette; Korsch,There is a significant opportunity to enhance tablet compression processes for nuclear fuel pellet manufacturing with precision pressing equipment.
